subtype_id,subtype,sensor,seed_count,selection_fraction_mean,selection_fraction_std
0,calm,fc4_flux,24,0.1387995927910214,0.0479373467072532
0,calm,laser_disdrometer,24,0.2885605419219026,0.0604531140862196
0,calm,shielded_thermo_hygro,24,0.2702123876745158,0.1051322443939863
0,calm,surface_temp_ir,24,0.3024274776125601,0.0615305873499398
1,particle,fc4_flux,24,0.0050889682681856,0.0175043128280903
1,particle,laser_disdrometer,24,0.99281431214696,0.0180041900355875
1,particle,shielded_thermo_hygro,24,0.0020967195848544,0.0063259788440067
1,particle,surface_temp_ir,24,0.0,0.0
2,flux,fc4_flux,24,0.978339003257699,0.0833518520896326
2,flux,laser_disdrometer,24,0.012079931469895,0.0450303967476748
2,flux,shielded_thermo_hygro,24,0.0,0.0
2,flux,surface_temp_ir,24,0.009581065272406,0.0390255998649983
3,thermal,fc4_flux,24,0.0016625624308603,0.005009376867489
3,thermal,laser_disdrometer,24,0.0053926584692477,0.0252034733371021
3,thermal,shielded_thermo_hygro,24,0.0014976248486103,0.0036513461579415
3,thermal,surface_temp_ir,24,0.9914471542512816,0.0279917925026769
