policy,steps,reward_mean,instant_mae,oracle_loss_mean,dtw_mean,power_mean,peak_power_max,event_rate,warmup_abort_count,switches_per_step,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,duty_min,duty_max,duty_std,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,seed,run_dir,eval_steps_per_start,eval_start_count,diagnostic_privilege,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm,custom_ppo_oracle_loss_mean,custom_ppo_oracle_loss_macro_subtype_event,validation_selected_static_oracle_loss_mean,validation_selected_static_oracle_loss_macro_subtype_event,feasible_static_projected_oracle_loss_mean,feasible_static_projected_oracle_loss_macro_subtype_event,round_robin_oracle_loss_mean,round_robin_oracle_loss_macro_subtype_event,aoi_oracle_loss_mean,aoi_oracle_loss_macro_subtype_event,random_oracle_loss_mean,random_oracle_loss_macro_subtype_event,custom_ppo_oracle_loss_subtype_particle,custom_ppo_oracle_loss_subtype_flux,custom_ppo_oracle_loss_subtype_thermal,custom_ppo_oracle_loss_macro_subtype_event_staticnorm,validation_selected_static_oracle_loss_subtype_particle,validation_selected_static_oracle_loss_subtype_flux,validation_selected_static_oracle_loss_subtype_thermal,validation_selected_static_oracle_loss_macro_subtype_event_staticnorm,feasible_static_projected_oracle_loss_subtype_particle,feasible_static_projected_oracle_loss_subtype_flux,feasible_static_projected_oracle_loss_subtype_thermal,feasible_static_projected_oracle_loss_macro_subtype_event_staticnorm,round_robin_oracle_loss_subtype_particle,round_robin_oracle_loss_subtype_flux,round_robin_oracle_loss_subtype_thermal,round_robin_oracle_loss_macro_subtype_event_staticnorm,aoi_oracle_loss_subtype_particle,aoi_oracle_loss_subtype_flux,aoi_oracle_loss_subtype_thermal,aoi_oracle_loss_macro_subtype_event_staticnorm,random_oracle_loss_subtype_particle,random_oracle_loss_subtype_flux,random_oracle_loss_subtype_thermal,random_oracle_loss_macro_subtype_event_staticnorm,margin_loss_vs_custom_ppo,margin_oracle_loss_macro_subtype_event_staticnorm_vs_custom_ppo
context_alert_bandit_t0p5,2304,-0.5500731210628851,27.476073067612344,0.5500368074054778,19.878723659534277,1.4756076388888888,1.94,0.6796875,0,0.0170068027210884,0,1,3,0.4719233114840194,0.0,0.9587673611111112,0.3824676047567673,1.0469396466232208,83,1.0288278078340918,758,0.2699998998333668,725,0.7819224514302264,3,1201,reports/v102_v97_frozen_scene_final_seed1201_b1p75_20260822,384,6,supplied_synthetic_warning_scores,1.0142931951754326,0.8513844478758101,0.7453660703742437,0.8703479044751621,0.920310375820716,1.2177401055376602,0.5667627864588414,0.7182810373482845,0.7804881270923134,1.076094857118023,0.7450348215158252,0.9546827204946868,0.7194082490944614,0.9523501977630752,0.6758412031211063,0.8919505470377205,1.482151703662183,1.3384466582815848,0.8326219546692125,1.614028874756911,0.8159097874739084,0.995154072533025,0.3437792520379198,0.8543428291369367,1.296509595161461,1.515912982082304,0.4158619941103047,1.21952585000921,1.0744409790958267,1.329785130092368,0.4598220522958657,1.136921454735942,1.136969148035509,1.3008982429089206,0.4191832023447958,1.11174991471077,1.068966694265963,1.1917038717181827,0.4151810751290157,1.0559859967460836,-0.3702735684152382,-0.7436809702817488
forecast_greedy_one_step,2304,-0.7251772637658372,10.430474090301868,0.7250933517288003,7.232324320210022,0.7816840277777778,1.84,0.6796875,0,0.041395281516862,0,3,3,0.493372997149709,0.0,0.56640625,0.257621679613195,1.1678409766720002,83,1.4076879160739186,758,0.3634828246667467,725,0.9796705724708884,3,1201,reports/v102_v97_frozen_scene_final_seed1201_b1p75_20260822,384,6,final_future_loss,1.1314244899464947,1.1649020274161463,1.003436537708307,1.0999210183569827,0.920310375820716,1.2177401055376602,0.5667627864588414,0.7182810373482845,0.7804881270923134,1.076094857118023,0.7450348215158252,0.9546827204946868,0.7194082490944614,0.9523501977630752,0.6758412031211063,0.8919505470377205,1.482151703662183,1.3384466582815848,0.8326219546692125,1.614028874756911,0.8159097874739084,0.995154072533025,0.3437792520379198,0.8543428291369367,1.296509595161461,1.515912982082304,0.4158619941103047,1.21952585000921,1.0744409790958267,1.329785130092368,0.4598220522958657,1.136921454735942,1.136969148035509,1.3008982429089206,0.4191832023447958,1.11174991471077,1.068966694265963,1.1917038717181827,0.4151810751290157,1.0559859967460836,-0.1952170240919156,-0.5141078563999282
event_label_reference_l8,2304,-0.5478916866572539,27.365580745667295,0.5478553729998465,19.939048493119877,1.4813541666666663,1.94,0.6796875,0,0.0170068027210884,0,1,3,0.4625990913618085,0.0,0.9578993055555556,0.3865776205672178,1.0525200212576302,83,1.0189236777596236,758,0.2722722952119235,725,0.781238664743059,3,1201,reports/v102_v97_frozen_scene_final_seed1201_b1p75_20260822,384,6,exact_final_event_subtype,1.0196995584137216,0.8431884968615262,0.7516392816409766,0.8715091123054082,0.920310375820716,1.2177401055376602,0.5667627864588414,0.7182810373482845,0.7804881270923134,1.076094857118023,0.7450348215158252,0.9546827204946868,0.7194082490944614,0.9523501977630752,0.6758412031211063,0.8919505470377205,1.482151703662183,1.3384466582815848,0.8326219546692125,1.614028874756911,0.8159097874739084,0.995154072533025,0.3437792520379198,0.8543428291369367,1.296509595161461,1.515912982082304,0.4158619941103047,1.21952585000921,1.0744409790958267,1.329785130092368,0.4598220522958657,1.136921454735942,1.136969148035509,1.3008982429089206,0.4191832023447958,1.11174991471077,1.068966694265963,1.1917038717181827,0.4151810751290157,1.0559859967460836,-0.3724550028208694,-0.7425197624515028
context_alert_bandit_t0p5,2304,-0.4766810740006622,9.986682005316268,0.4766615427506622,6.082643953316337,1.384375,2.12,0.6731770833333334,0,0.0086843247937472,1,3,2,0.2869557125476136,0.0,1.0,0.4145497552538689,,0,0.8598238653807997,749,0.2742120925699386,802,0.5670179789753691,2,1202,reports/v102_v97_frozen_scene_final_seed1202_b1p75_20260822,384,6,supplied_synthetic_warning_scores,,0.7447126577239385,0.7010829223200012,0.7228977900219699,0.5673755781414608,0.6745006815729961,0.5426052380838277,0.6720211809363892,0.5740151516511105,0.7056633107739202,0.5602233326968012,0.6694966107770361,0.5061261975335785,0.607053457064949,0.5433846158460559,0.649713785504789,,0.9496509700376934,0.3993503931082989,0.9217700776689168,,1.0000704198439068,0.3439719420288715,0.8728112493593523,,1.051197454512358,0.3601291670354822,0.915607114718338,,0.9693948336253976,0.3695983879286749,0.8922866385673114,,0.8857936080351213,0.3283133060947766,0.8033050434108346,,0.9279231702851676,0.3715044007244104,0.8767634398988275,-0.0907140353907985,-0.1988722876469469
forecast_greedy_one_step,2304,-0.5221317042338713,18.2815542660104,0.5220631278449824,11.940183500898463,0.624140625,1.84,0.6731770833333334,0,0.0342307135620205,0,3,3,0.4819836749360646,0.0,0.48046875,0.2073982256920788,,0,0.9304852798601018,749,0.3184876647357483,802,0.6244864722979251,2,1202,reports/v102_v97_frozen_scene_final_seed1202_b1p75_20260822,384,6,final_future_loss,,0.8059140873354651,0.8142830632418642,0.8100985752886647,0.5673755781414608,0.6745006815729961,0.5426052380838277,0.6720211809363892,0.5740151516511105,0.7056633107739202,0.5602233326968012,0.6694966107770361,0.5061261975335785,0.607053457064949,0.5433846158460559,0.649713785504789,,0.9496509700376934,0.3993503931082989,0.9217700776689168,,1.0000704198439068,0.3439719420288715,0.8728112493593523,,1.051197454512358,0.3601291670354822,0.915607114718338,,0.9693948336253976,0.3695983879286749,0.8922866385673114,,0.8857936080351213,0.3283133060947766,0.8033050434108346,,0.9279231702851676,0.3715044007244104,0.8767634398988275,-0.0453124502964783,-0.1116715023802521
event_label_reference_l8,2304,-0.4761731001547176,10.271065188622224,0.4761535689047175,6.13950039014075,1.3896006944444443,2.12,0.6731770833333334,0,0.0086843247937472,1,3,2,0.2833533551467608,0.0,1.0,0.4161360513472503,,0,0.8576275565436431,749,0.2748396324082057,802,0.5662335944759244,2,1202,reports/v102_v97_frozen_scene_final_seed1202_b1p75_20260822,384,6,exact_final_event_subtype,,0.7428103855759363,0.7026873645587122,0.7227488750673242,0.5673755781414608,0.6745006815729961,0.5426052380838277,0.6720211809363892,0.5740151516511105,0.7056633107739202,0.5602233326968012,0.6694966107770361,0.5061261975335785,0.607053457064949,0.5433846158460559,0.649713785504789,,0.9496509700376934,0.3993503931082989,0.9217700776689168,,1.0000704198439068,0.3439719420288715,0.8728112493593523,,1.051197454512358,0.3601291670354822,0.915607114718338,,0.9693948336253976,0.3695983879286749,0.8922866385673114,,0.8857936080351213,0.3283133060947766,0.8033050434108346,,0.9279231702851676,0.3715044007244104,0.8767634398988275,-0.0912220092367432,-0.1990212026015926
context_alert_bandit_t0p5,2304,-0.4611663295818597,3.781636397653704,0.4611233608318596,2.2272385162510053,1.4301215277777777,2.12,0.7799479166666666,0,0.0204805326385873,0,0,4,0.525969670468732,0.0421006944444444,0.9578993055555556,0.3654083229262722,1.2779511106364867,85,0.6774925775317984,880,0.2519260672315095,832,0.7357899184665982,3,1203,reports/v102_v97_frozen_scene_final_seed1203_b1p75_20260822,384,6,supplied_synthetic_warning_scores,1.1261956990884612,0.7629292797117182,0.9082296709808606,0.9324515499270132,0.5528690115590709,0.8402238571538102,0.4837126751501475,0.7788996304916279,0.478609395698489,0.8394551549719417,0.5349226007432056,0.8212730005864765,0.5042550362931151,0.8054776277907002,0.5003990009621097,0.8014425519845435,1.3845885513459937,0.6906920547512445,0.4453909653641928,1.2012205947425176,1.34951912567896,0.6936132919466631,0.293566473849261,1.009565778917989,1.5405957164133297,0.6856049622493712,0.2921647862531245,1.0610040837014971,1.382467352292117,0.7195090902376581,0.3618425592296542,1.1110131793461937,1.4055694649324697,0.697231477600607,0.3136319408390241,1.0515017037032963,1.388306678218,0.7212014001116834,0.2948195776239467,1.032821231060859,-0.0917456507272112,-0.2687690448155043
forecast_greedy_one_step,2304,-0.4728968732662205,17.3959577263991,0.4728180248865909,13.890426851090924,0.733498263888889,1.84,0.7799479166666666,0,0.0393689390649876,0,3,3,0.4968510637276664,0.0,0.5082465277777778,0.2400579632995758,1.5323395853533464,85,0.6815631648356264,880,0.2801249225068694,832,0.8313425575652807,3,1203,reports/v102_v97_frozen_scene_final_seed1203_b1p75_20260822,384,6,final_future_loss,1.3503757977943605,0.7675131974441121,1.0098905960698137,1.042593197102762,0.5528690115590709,0.8402238571538102,0.4837126751501475,0.7788996304916279,0.478609395698489,0.8394551549719417,0.5349226007432056,0.8212730005864765,0.5042550362931151,0.8054776277907002,0.5003990009621097,0.8014425519845435,1.3845885513459937,0.6906920547512445,0.4453909653641928,1.2012205947425176,1.34951912567896,0.6936132919466631,0.293566473849261,1.009565778917989,1.5405957164133297,0.6856049622493712,0.2921647862531245,1.0610040837014971,1.382467352292117,0.7195090902376581,0.3618425592296542,1.1110131793461937,1.4055694649324697,0.697231477600607,0.3136319408390241,1.0515017037032963,1.388306678218,0.7212014001116834,0.2948195776239467,1.032821231060859,-0.0800509866724799,-0.1586273976397556
event_label_reference_l8,2304,-0.4602889927597975,3.7805209084933327,0.4602460240097975,2.221867121706135,1.4292708333333333,2.12,0.7799479166666666,0,0.0204805326385873,0,0,4,0.5093623334846417,0.0421006944444444,0.9578993055555556,0.371190075307899,1.283801589643254,85,0.6768138893541288,880,0.2504394847469834,832,0.7370183212481222,3,1203,reports/v102_v97_frozen_scene_final_seed1203_b1p75_20260822,384,6,exact_final_event_subtype,1.1313514395860356,0.762165004058065,0.9028703275209148,0.9321289237216718,0.5528690115590709,0.8402238571538102,0.4837126751501475,0.7788996304916279,0.478609395698489,0.8394551549719417,0.5349226007432056,0.8212730005864765,0.5042550362931151,0.8054776277907002,0.5003990009621097,0.8014425519845435,1.3845885513459937,0.6906920547512445,0.4453909653641928,1.2012205947425176,1.34951912567896,0.6936132919466631,0.293566473849261,1.009565778917989,1.5405957164133297,0.6856049622493712,0.2921647862531245,1.0610040837014971,1.382467352292117,0.7195090902376581,0.3618425592296542,1.1110131793461937,1.4055694649324697,0.697231477600607,0.3136319408390241,1.0515017037032963,1.388306678218,0.7212014001116834,0.2948195776239467,1.032821231060859,-0.0926229875492733,-0.2690916710208458
context_alert_bandit_t0p5,2304,-0.3415489321466949,19.567270670191597,0.3415168140911394,13.747024680750323,1.4058159722222223,2.0,0.4796006944444444,0,0.014980460269214,0,1,5,0.7747430571474333,0.0,0.7335069444444444,0.2359921578901698,,0,0.6274466226436856,566,0.2594538886715176,539,0.4434502556576015,2,1204,reports/v102_v97_frozen_scene_final_seed1204_b1p75_20260822,384,6,supplied_synthetic_warning_scores,,0.8457913738879602,0.8442341823098586,0.8450127780989094,0.3651467573557359,0.5122517796860129,0.3422173719963111,0.4567884407921579,0.3664657770310037,0.5254459617177306,0.3805706532697918,0.5011381612586816,0.36497531065187,0.4884075580154935,0.3607194309685534,0.48860405459938,,0.6882063641538679,0.3362971952181579,1.0109843198481985,,0.6287484485326934,0.2848284330516224,0.8871731786112647,,0.6699965212151882,0.380895402220273,1.071269792540746,,0.6744980955950574,0.3277782269223059,0.987885130665646,,0.6648437272322893,0.3119713887986977,0.9556612885312712,,0.6660629144669,0.3111451947318601,0.9551388423063628,-0.0236299432645964,-0.165971541749289
forecast_greedy_one_step,2304,-0.3619388907399046,9.959814282881151,0.3618648166658305,7.114365016602874,0.7946614583333332,1.84,0.4796006944444444,0,0.036618902880301,0,3,3,0.4969687925133821,0.0,0.5533854166666666,0.2600081189594525,,0,0.6496893580436918,566,0.3474744931278069,539,0.4985819255857493,2,1204,reports/v102_v97_frozen_scene_final_seed1204_b1p75_20260822,384,6,final_future_loss,,0.875774344636503,1.1306434684071478,1.0032089065218257,0.3651467573557359,0.5122517796860129,0.3422173719963111,0.4567884407921579,0.3664657770310037,0.5254459617177306,0.3805706532697918,0.5011381612586816,0.36497531065187,0.4884075580154935,0.3607194309685534,0.48860405459938,,0.6882063641538679,0.3362971952181579,1.0109843198481985,,0.6287484485326934,0.2848284330516224,0.8871731786112647,,0.6699965212151882,0.380895402220273,1.071269792540746,,0.6744980955950574,0.3277782269223059,0.987885130665646,,0.6648437272322893,0.3119713887986977,0.9556612885312712,,0.6660629144669,0.3111451947318601,0.9551388423063628,-0.0032819406899053,-0.0077754133263729
event_label_reference_l8,2304,-0.3440268908545582,19.700690855026306,0.3439947727990026,13.914834120995696,1.4108159722222224,2.0,0.4796006944444444,0,0.014980460269214,0,1,5,0.7754897148117786,0.0,0.7282986111111112,0.2361187791652674,,0,0.6246688435045021,566,0.2689406156456979,539,0.4468047295751,2,1204,reports/v102_v97_frozen_scene_final_seed1204_b1p75_20260822,384,6,exact_final_event_subtype,,0.8420469571524167,0.8751029398792772,0.8585749485158469,0.3651467573557359,0.5122517796860129,0.3422173719963111,0.4567884407921579,0.3664657770310037,0.5254459617177306,0.3805706532697918,0.5011381612586816,0.36497531065187,0.4884075580154935,0.3607194309685534,0.48860405459938,,0.6882063641538679,0.3362971952181579,1.0109843198481985,,0.6287484485326934,0.2848284330516224,0.8871731786112647,,0.6699965212151882,0.380895402220273,1.071269792540746,,0.6744980955950574,0.3277782269223059,0.987885130665646,,0.6648437272322893,0.3119713887986977,0.9556612885312712,,0.6660629144669,0.3111451947318601,0.9551388423063628,-0.0211519845567332,-0.1524093713323515
context_alert_bandit_t0p5,2304,-0.4350798096278364,13.082068007528818,0.4350621591648733,8.646900211192085,1.6164322916666665,2.1,0.7013888888888888,0,0.0075264148212476,0,1,5,0.4855262752381934,0.0,0.9401041666666666,0.3772348129725587,0.978881876479398,111,0.6841389644176848,772,0.2452972006881139,733,0.6361060138617324,3,1205,reports/v102_v97_frozen_scene_final_seed1205_b1p75_20260822,384,6,supplied_synthetic_warning_scores,1.0379278259006024,0.7342268486192484,0.7825126822409175,0.8515557855869228,0.5016557566090746,0.8096841808770673,0.4441046658191933,0.574526274171362,0.454588205812292,0.6821749549480208,0.4705212757706047,0.7236558191315839,0.4483316496900645,0.6866877560799347,0.4647097250352898,0.6956415317314594,1.3986131087079778,0.6687744256359925,0.3616650082872314,1.118149167938428,0.7514289652442073,0.6688210758443324,0.3033287814255463,0.8273931251676389,1.0566417752085506,0.6569464602773054,0.3329366293582064,0.9625031215420424,1.1728539407790244,0.6919753817175491,0.3061381348981782,0.9876120415866833,1.1034552846942935,0.6721028954446934,0.2845050881008171,0.9329710790746812,1.0916775526764158,0.691560980173822,0.3036860623441402,0.9561653984361836,-0.0665935974442012,-0.2665933823515053
forecast_greedy_one_step,2304,-0.4527370858203525,10.707498854668051,0.4526631564222043,7.4777347707117,0.7780555555555555,1.84,0.7013888888888888,0,0.0366912722535822,0,3,3,0.4767741121666201,0.0,0.6840277777777778,0.268829633171483,1.1147727817296982,111,0.6468495264881016,772,0.3260803472042328,733,0.6959008851406775,3,1205,reports/v102_v97_frozen_scene_final_seed1205_b1p75_20260822,384,6,final_future_loss,1.182015642045881,0.6942073380785427,1.0402157317778062,0.9721462373007432,0.5016557566090746,0.8096841808770673,0.4441046658191933,0.574526274171362,0.454588205812292,0.6821749549480208,0.4705212757706047,0.7236558191315839,0.4483316496900645,0.6866877560799347,0.4647097250352898,0.6956415317314594,1.3986131087079778,0.6687744256359925,0.3616650082872314,1.118149167938428,0.7514289652442073,0.6688210758443324,0.3033287814255463,0.8273931251676389,1.0566417752085506,0.6569464602773054,0.3329366293582064,0.9625031215420424,1.1728539407790244,0.6919753817175491,0.3061381348981782,0.9876120415866833,1.1034552846942935,0.6721028954446934,0.2845050881008171,0.9329710790746812,1.0916775526764158,0.691560980173822,0.3036860623441402,0.9561653984361836,-0.0489926001868702,-0.1460029306376847
event_label_reference_l8,2304,-0.4349799183000233,13.418961250651323,0.4349622678370603,8.897327953053969,1.617317708333333,2.1,0.7013888888888888,0,0.0075264148212476,0,1,5,0.4896639817604495,0.0,0.9392361111111112,0.3756263779716964,0.9689964464118888,111,0.683832652519404,772,0.2441011576126819,733,0.6323100855146583,3,1205,reports/v102_v97_frozen_scene_final_seed1205_b1p75_20260822,384,6,exact_final_event_subtype,1.0274461087653703,0.73389811069981,0.778697233583507,0.8466804843495624,0.5016557566090746,0.8096841808770673,0.4441046658191933,0.574526274171362,0.454588205812292,0.6821749549480208,0.4705212757706047,0.7236558191315839,0.4483316496900645,0.6866877560799347,0.4647097250352898,0.6956415317314594,1.3986131087079778,0.6687744256359925,0.3616650082872314,1.118149167938428,0.7514289652442073,0.6688210758443324,0.3033287814255463,0.8273931251676389,1.0566417752085506,0.6569464602773054,0.3329366293582064,0.9625031215420424,1.1728539407790244,0.6919753817175491,0.3061381348981782,0.9876120415866833,1.1034552846942935,0.6721028954446934,0.2845050881008171,0.9329710790746812,1.0916775526764158,0.691560980173822,0.3036860623441402,0.9561653984361836,-0.0666934887720142,-0.2714686835888656
context_alert_bandit_t0p5,2304,-0.430603015752949,10.816594870276685,0.4305721997807268,6.273330405444056,1.6431770833333337,2.12,0.5455729166666666,0,0.014329135909683,0,0,6,0.7826572198800072,0.0915798611111111,0.9084201388888888,0.2567710456843763,0.774720232685407,180,0.824904732832449,568,0.2469078912994365,509,0.6155109522724308,3,1206,reports/v102_v97_frozen_scene_final_seed1206_b1p75_20260822,384,6,supplied_synthetic_warning_scores,0.6992979206147123,1.4772042755899724,0.8284474517896937,1.0016498826647928,0.6238809569978103,0.8961499698436768,0.4418106151861138,0.602730879184778,0.481237339454108,0.7323122090909046,0.5029927846222159,0.712543006687561,0.4833655765946282,0.6901996670104443,0.4949830008554272,0.7096447944986957,1.0175230134692457,0.9735707557878234,0.6973561402739616,1.667241201036212,0.6644735977881484,0.8890598732322245,0.254659166533961,1.015443352864932,0.9586292187372843,0.9289326801581282,0.309374728377301,1.1889458174366938,0.8945851939419905,0.8710297290563689,0.3720140970643236,1.2051704871562814,0.8660259696344534,0.873669600153578,0.3309034312433016,1.1521739277213874,0.8871418486866686,0.899618245438266,0.3421742893711523,1.1866222208394452,-0.1933087572170835,-0.6655913183714193
