pass,changed_label,calm,particle,flux,thermal,selection_primary,selection_secondary
0,initial,11,21,29,14,0.9992584394909658,1.9500833925841414
1,calm,11,21,29,14,0.9992584394909658,1.9500833925841414
1,calm,31,21,29,14,1.016369651619155,1.984033785362068
1,calm,13,21,29,14,1.0142262912644517,1.9817504774459476
1,calm,9,21,29,14,1.0108757312504704,1.9754797242455853
1,particle,11,21,29,14,0.9992584394909658,1.9500833925841414
1,particle,11,19,29,14,1.030628286088388,2.0172070308841583
1,particle,11,20,29,14,1.0098270963287026,1.9705369041348744
1,particle,11,16,29,14,0.9943959194838479,1.93954433069047
1,flux,11,16,29,14,0.9943959194838479,1.93954433069047
1,flux,11,16,27,14,0.9964341062106172,1.9440227328320525
1,flux,11,16,33,14,1.0048686504255426,1.9586847415355582
1,flux,11,16,32,14,0.9934072599908246,1.942674827591082
1,thermal,11,16,32,14,0.9934072599908246,1.942674827591082
1,thermal,11,16,32,33,1.0362119323477486,2.000104321422552
1,thermal,11,16,32,11,0.9458325523954534,1.8782977838392234
1,thermal,11,16,32,12,1.0289160828152315,1.989776314607766
2,calm,11,16,32,11,0.9458325523954534,1.8782977838392234
2,calm,31,16,32,11,0.9722943608043062,1.9158591612481441
2,calm,13,16,32,11,0.9525743431644302,1.8903402968507823
2,calm,9,16,32,11,0.9516630282675032,1.8916312974720428
2,particle,11,21,32,11,0.9506950724025716,1.8888368457328952
2,particle,11,19,32,11,0.9820649189999934,1.9559604840329117
2,particle,11,20,32,11,0.961263729240308,1.9092903572836275
2,particle,11,16,32,11,0.9458325523954534,1.8782977838392234
2,flux,11,16,29,11,0.9564234796361336,1.8943283546170508
2,flux,11,16,27,11,0.9514893935288983,1.8860919591387635
2,flux,11,16,33,11,0.958261211159894,1.897464109335889
2,flux,11,16,32,11,0.9458325523954534,1.8782977838392234
2,thermal,11,16,32,14,0.9934072599908246,1.942674827591082
2,thermal,11,16,32,33,1.0362119323477486,2.000104321422552
2,thermal,11,16,32,11,0.9458325523954534,1.8782977838392234
2,thermal,11,16,32,12,1.0289160828152315,1.989776314607766
