policy,steps,reward_mean,instant_mae,oracle_loss_mean,dtw_mean,power_mean,peak_power_max,event_rate,warmup_abort_count,switches_per_step,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,duty_min,duty_max,duty_std,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,seed,run_dir,eval_steps_per_start,eval_start_count,diagnostic_privilege,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm,custom_ppo_oracle_loss_mean,custom_ppo_oracle_loss_macro_subtype_event,validation_selected_static_oracle_loss_mean,validation_selected_static_oracle_loss_macro_subtype_event,feasible_static_projected_oracle_loss_mean,feasible_static_projected_oracle_loss_macro_subtype_event,round_robin_oracle_loss_mean,round_robin_oracle_loss_macro_subtype_event,aoi_oracle_loss_mean,aoi_oracle_loss_macro_subtype_event,random_oracle_loss_mean,random_oracle_loss_macro_subtype_event,custom_ppo_oracle_loss_subtype_particle,custom_ppo_oracle_loss_subtype_flux,custom_ppo_oracle_loss_subtype_thermal,custom_ppo_oracle_loss_macro_subtype_event_staticnorm,validation_selected_static_oracle_loss_subtype_particle,validation_selected_static_oracle_loss_subtype_flux,validation_selected_static_oracle_loss_subtype_thermal,validation_selected_static_oracle_loss_macro_subtype_event_staticnorm,feasible_static_projected_oracle_loss_subtype_particle,feasible_static_projected_oracle_loss_subtype_flux,feasible_static_projected_oracle_loss_subtype_thermal,feasible_static_projected_oracle_loss_macro_subtype_event_staticnorm,round_robin_oracle_loss_subtype_particle,round_robin_oracle_loss_subtype_flux,round_robin_oracle_loss_subtype_thermal,round_robin_oracle_loss_macro_subtype_event_staticnorm,aoi_oracle_loss_subtype_particle,aoi_oracle_loss_subtype_flux,aoi_oracle_loss_subtype_thermal,aoi_oracle_loss_macro_subtype_event_staticnorm,random_oracle_loss_subtype_particle,random_oracle_loss_subtype_flux,random_oracle_loss_subtype_thermal,random_oracle_loss_macro_subtype_event_staticnorm,margin_loss_vs_custom_ppo,margin_oracle_loss_macro_subtype_event_staticnorm_vs_custom_ppo
context_alert_bandit_t0p5,2304,-0.5533850445402442,3.871003892794619,0.5533752065772811,3.666378230026157,1.4851562500000002,2.06,0.5980902777777778,0,0.0040526849037487,0,2,0,0.106885817266019,0.0,0.9765625,0.4549323391007966,0.9534811775873204,101,0.9964268938311048,740,0.3235006991850153,537,0.7578029235344802,3,1301,reports/v113_frequency_cost_intensity_context_gate_dev_seed1301_b1p75_20260822,384,6,supplied_synthetic_warning_scores,0.7950816044137118,1.8107569034852544,0.7454519470340061,1.1170968183109908,0.6528233300066657,0.9189174960250646,0.5469403838829344,0.792169323798309,0.6143371628552106,0.8854800308494114,0.6809640843388883,0.8848530453392685,0.6668966241413727,0.9007573804524116,0.6545725514459062,0.8578053455359717,1.138045038769741,1.1584811374142363,0.4602263118912166,1.371582335906325,1.0799847016535182,0.9748091648962046,0.3217141048452042,1.137792175449387,1.1590718380590477,0.9920229899319444,0.5053452645572426,1.311251160656192,1.0236839339284614,1.1912213511362268,0.4396538509531172,1.3438252960651005,1.0985132714014243,1.1875570400039086,0.4162018299519017,1.344391289913294,1.0241227297499629,1.1330648059780533,0.4162285008798986,1.2907256973348076,-0.0994481234293845,-0.2544855175953342
event_label_reference_l8,2304,-0.5421789773060612,8.529850139747385,0.5421749263801353,7.010827732558917,1.491171875,2.06,0.5980902777777778,0,0.0011579099724996,0,2,4,0.1931376179373985,0.0,0.94921875,0.4359899224255043,0.988060837482462,101,0.9785641138618056,740,0.3154948826747455,537,0.7607066113396711,3,1301,reports/v113_frequency_cost_intensity_context_gate_dev_seed1301_b1p75_20260822,384,6,exact_final_event_subtype,0.8239166271868716,1.778295764243534,0.7270039142470215,1.1097387685591424,0.6528233300066657,0.9189174960250646,0.5469403838829344,0.792169323798309,0.6143371628552106,0.8854800308494114,0.6809640843388883,0.8848530453392685,0.6668966241413727,0.9007573804524116,0.6545725514459062,0.8578053455359717,1.138045038769741,1.1584811374142363,0.4602263118912166,1.371582335906325,1.0799847016535182,0.9748091648962046,0.3217141048452042,1.137792175449387,1.1590718380590477,0.9920229899319444,0.5053452645572426,1.311251160656192,1.0236839339284614,1.1912213511362268,0.4396538509531172,1.3438252960651005,1.0985132714014243,1.1875570400039086,0.4162018299519017,1.344391289913294,1.0241227297499629,1.1330648059780533,0.4162285008798986,1.2907256973348076,-0.1106484036265303,-0.2618435673471826
context_alert_bandit_t0p5,2304,-0.5093005378049135,7.467476735231858,0.5091905841012098,5.5391127701792975,1.5738628472222222,1.92,0.6996527777777778,0,0.054132291214358,0,1,5,0.6945099274382157,0.0,0.6436631944444444,0.2426182926058076,1.001964401792396,154,0.796107865360981,827,0.2509137290616988,631,0.6829953320716919,3,1302,reports/v113_frequency_cost_intensity_context_gate_dev_seed1302_b1p75_20260822,384,6,supplied_synthetic_warning_scores,1.0000106862920275,1.4196980759027718,0.8319601375708386,1.0838896332552128,0.5814662264149066,0.8769228271640142,0.4914257102338726,0.7081438520996146,0.5512563979977535,0.7869419931842255,0.548509919574523,0.7759333711593522,0.5360518068838347,0.7748073901596894,0.55517406052968,0.7684960954531936,1.415934055076017,0.8635086545398619,0.3513257718761636,1.3726551671574352,1.1092788062312386,0.7933777026751021,0.2217750473925032,1.0857631980379132,1.183226878041184,0.8555475513044263,0.3220515502070663,1.2581499584174152,1.1785015204510132,0.8161544828408791,0.3331441101861642,1.2454213232308515,1.2183301344320372,0.8174237620531432,0.2886682739938873,1.2102696412799432,1.1712958662734403,0.835103207755442,0.2990892123306988,1.216649010574267,-0.0722756423136968,-0.2887655339022223
event_label_reference_l8,2304,-0.5171333754703973,27.02246682291801,0.5170882365815083,17.1804506227423,1.5463802083333331,1.92,0.6996527777777778,0,0.0217108119843682,0,1,5,0.7237317255210572,0.0,0.74609375,0.2244873457985447,1.0314204115178678,154,0.8321506511577672,827,0.2391734108116283,631,0.7009148244957544,3,1302,reports/v113_frequency_cost_intensity_context_gate_dev_seed1302_b1p75_20260822,384,6,exact_final_event_subtype,1.0294092601817784,1.48397312690063,0.7930325076520617,1.1021382982448231,0.5814662264149066,0.8769228271640142,0.4914257102338726,0.7081438520996146,0.5512563979977535,0.7869419931842255,0.548509919574523,0.7759333711593522,0.5360518068838347,0.7748073901596894,0.55517406052968,0.7684960954531936,1.415934055076017,0.8635086545398619,0.3513257718761636,1.3726551671574352,1.1092788062312386,0.7933777026751021,0.2217750473925032,1.0857631980379132,1.183226878041184,0.8555475513044263,0.3220515502070663,1.2581499584174152,1.1785015204510132,0.8161544828408791,0.3331441101861642,1.2454213232308515,1.2183301344320372,0.8174237620531432,0.2886682739938873,1.2102696412799432,1.1712958662734403,0.835103207755442,0.2990892123306988,1.216649010574267,-0.0643779898333983,-0.2705168689126118
context_alert_bandit_t0p5,2304,-0.5051219192093014,199.91578776400323,0.5050827120333755,199.77682201561365,1.4299392361111112,1.92,0.5416666666666666,0,0.0188160370531191,0,2,2,0.2940623351050304,0.0,0.9735243055555556,0.390020651162387,0.9012404535061274,117,0.9950722798197932,617,0.2072441017088491,514,0.7011856116782565,3,1303,reports/v113_frequency_cost_intensity_context_gate_dev_seed1303_b1p75_20260822,384,6,supplied_synthetic_warning_scores,0.823668935855202,1.1408888996855358,0.5043865353247643,0.8229814569551673,0.6111977571530992,0.8549912666995496,0.6091144427191466,0.7538864567379955,0.5588875727132998,0.8684992788047111,0.6023220141424745,0.8611003384009138,0.5928005050971277,0.8821232941039229,0.574291360803828,0.8742028179403979,0.9953178923863631,1.0634013529462405,0.5062545547660454,1.1203306497818937,0.7472867660033398,1.0782582646106011,0.4361143396000454,0.993545840229674,1.13435751454443,1.1710072491601762,0.300133072709527,1.036594720501995,1.0308543051409924,1.222864337301718,0.3295823727600305,1.048772983161241,1.1551856882551796,1.1807449456648464,0.3104392483917423,1.0550224078172434,1.2246219120983384,1.0794923615127174,0.3184941802101376,1.0440136198450054,-0.1061150451197237,-0.2973491928267261
event_label_reference_l8,2304,-0.5102826428564387,199.9045151138548,0.5102680305879201,199.7551497039267,1.2745572916666663,1.92,0.5416666666666666,0,0.0065132435953104,0,2,4,0.4116404075499768,0.0,0.9405381944444444,0.3323647275991256,1.050515702392301,117,0.9906483086450946,617,0.1876649194132493,514,0.7429429768168817,3,1303,reports/v113_frequency_cost_intensity_context_gate_dev_seed1303_b1p75_20260822,384,6,exact_final_event_subtype,0.9600957739107566,1.13581664543014,0.4567351144102945,0.850882511250397,0.6111977571530992,0.8549912666995496,0.6091144427191466,0.7538864567379955,0.5588875727132998,0.8684992788047111,0.6023220141424745,0.8611003384009138,0.5928005050971277,0.8821232941039229,0.574291360803828,0.8742028179403979,0.9953178923863631,1.0634013529462405,0.5062545547660454,1.1203306497818937,0.7472867660033398,1.0782582646106011,0.4361143396000454,0.993545840229674,1.13435751454443,1.1710072491601762,0.300133072709527,1.036594720501995,1.0308543051409924,1.222864337301718,0.3295823727600305,1.048772983161241,1.1551856882551796,1.1807449456648464,0.3104392483917423,1.0550224078172434,1.2246219120983384,1.0794923615127174,0.3184941802101376,1.0440136198450054,-0.100929726565179,-0.2694481385314964
context_alert_bandit_t0p5,2304,-0.5098938471181533,9.194306333561965,0.5098029906366719,7.363122419327412,1.5842274305555553,2.06,0.7022569444444444,0,0.0451584889274858,0,1,4,0.5639889284457142,0.0,0.8198784722222222,0.3026271454442816,0.95247365995532,42,0.8436678337861286,849,0.3057858581504845,727,0.7006424506306445,3,1304,reports/v113_frequency_cost_intensity_context_gate_dev_seed1304_b1p75_20260822,384,6,supplied_synthetic_warning_scores,1.0031268327622658,1.4420857332484358,1.1370331599089325,1.194081908639878,0.6050829937125349,0.856029788221445,0.54579861422341,0.786093713500307,0.6223858745910952,0.9259513127654352,0.5614972068740625,0.8958368101443178,0.5324236935525227,0.8325747348817977,0.5468011737975758,0.8217806258474741,1.1614743329229809,0.9348983974475744,0.4717166342937798,1.5250995094702422,1.1057432897034143,0.8570138353446347,0.3955240154528716,1.3667202671522494,1.3238451140267509,0.9468959154839792,0.507112908785576,1.6328097023196804,1.3982911493097032,0.86459970693636,0.4246195741868904,1.5098073165350778,1.289630915437426,0.8624074425245553,0.3456858466834117,1.3725763079844508,1.2272298751132829,0.8415948634241017,0.3965171390050379,1.40181507436073,-0.095280003075863,-0.3310176008303642
event_label_reference_l8,2304,-0.4930307060853854,31.132459211233545,0.492998298677978,21.7393491127111,1.5677604166666668,2.06,0.7022569444444444,0,0.0153423071356202,0,1,4,0.5802410783078897,0.0,0.7903645833333334,0.2971617809199437,0.8664438206525076,42,0.8321355105201123,849,0.2801866930546918,727,0.6595886747424372,3,1304,reports/v113_frequency_cost_intensity_context_gate_dev_seed1304_b1p75_20260822,384,6,exact_final_event_subtype,0.912521870282857,1.4223734742442042,1.0418453060429915,1.1255802168566844,0.6050829937125349,0.856029788221445,0.54579861422341,0.786093713500307,0.6223858745910952,0.9259513127654352,0.5614972068740625,0.8958368101443178,0.5324236935525227,0.8325747348817977,0.5468011737975758,0.8217806258474741,1.1614743329229809,0.9348983974475744,0.4717166342937798,1.5250995094702422,1.1057432897034143,0.8570138353446347,0.3955240154528716,1.3667202671522494,1.3238451140267509,0.9468959154839792,0.507112908785576,1.6328097023196804,1.3982911493097032,0.86459970693636,0.4246195741868904,1.5098073165350778,1.289630915437426,0.8624074425245553,0.3456858466834117,1.3725763079844508,1.2272298751132829,0.8415948634241017,0.3965171390050379,1.40181507436073,-0.1120846950345569,-0.3995192926135578
context_alert_bandit_t0p5,2304,-0.3634317103981782,5.029174653954897,0.3633576363241041,3.7598949080228654,1.4638194444444446,1.8,0.5646701388888888,0,0.0363294253871761,0,2,4,0.5031100604235913,0.0,0.8519965277777778,0.3314736376196828,1.0527035646140577,40,0.7000514556716685,622,0.2097919149344702,639,0.6541823117400655,3,1305,reports/v113_frequency_cost_intensity_context_gate_dev_seed1305_b1p75_20260822,384,6,supplied_synthetic_warning_scores,1.0078473552311822,1.7149094833959015,0.7666872440779328,1.1631480275683388,0.4524432681856625,0.9362760691174972,0.4394427122897468,0.6456781991429825,0.4352252763443782,0.7958108895440431,0.4446679791176898,0.7166646534507644,0.4121522238856414,0.7914958481886596,0.6407257711430753,0.9022735571631952,1.7011553801596164,0.705299716658435,0.4023731105344396,1.608970705715609,0.8081643767654896,0.7563867338145469,0.372483486848911,1.3292957556526883,1.2882404550909996,0.702931967291418,0.3962602462497115,1.4678173009750048,1.0687869258224965,0.7518340040393581,0.3293730304904387,1.356234689222087,1.3731219068169591,0.7325330105373618,0.268832627211658,1.363848014836415,1.1770934157073498,1.0019939291826974,0.5277333265995382,1.836706744560943,-0.0890856318615583,-0.4458226781472703
event_label_reference_l8,2304,-0.3630505009446793,22.68802569039477,0.3630204083520867,15.35078208428902,1.444079861111111,1.8,0.5646701388888888,0,0.0141843971631205,0,1,4,0.6427414049178959,0.0,0.66015625,0.2617732077425561,0.7759301051497459,40,0.7060886146650437,622,0.2139670262710775,639,0.5653285820286224,3,1305,reports/v113_frequency_cost_intensity_context_gate_dev_seed1305_b1p75_20260822,384,6,exact_final_event_subtype,0.7428673470922735,1.7296986551441047,0.7819452420107028,1.0848370814156938,0.4524432681856625,0.9362760691174972,0.4394427122897468,0.6456781991429825,0.4352252763443782,0.7958108895440431,0.4446679791176898,0.7166646534507644,0.4121522238856414,0.7914958481886596,0.6407257711430753,0.9022735571631952,1.7011553801596164,0.705299716658435,0.4023731105344396,1.608970705715609,0.8081643767654896,0.7563867338145469,0.372483486848911,1.3292957556526883,1.2882404550909996,0.702931967291418,0.3962602462497115,1.4678173009750048,1.0687869258224965,0.7518340040393581,0.3293730304904387,1.356234689222087,1.3731219068169591,0.7325330105373618,0.268832627211658,1.363848014836415,1.1770934157073498,1.0019939291826974,0.5277333265995382,1.836706744560943,-0.0894228598335757,-0.5241336242999153
