seed,model,feature_set,train_rows,test_rows,train_action_coverage,test_action_coverage,top1_action_accuracy,top3_action_accuracy,mean_action_cost_regret,mean_gain_vs_validation_static_action,receding_gain_vs_validation_static_action,fraction_of_receding_gain_recovered,validation_static_action_idx
1301,extra_trees_cost_regression,alert_context,1536,2304,22,22,0.08637152777777778,,0.06098664158748256,0.011122470527576903,0.07210911211505946,0.15424500734150706,13
1302,extra_trees_cost_regression,alert_context,1536,2304,22,22,0.1597222222222222,,0.0410419310339623,0.009624334178321684,0.050666265212283984,0.18995546914692016,12
1303,extra_trees_cost_regression,alert_context,1536,2304,22,22,0.2703993055555556,,0.036046885031585894,0.01348726329807606,0.04953414832966195,0.2722821276408146,14
1304,extra_trees_cost_regression,alert_context,1536,2304,22,22,0.18229166666666666,,0.044953700413720474,0.0070772788733140446,0.05203097928703452,0.136020481841625,12
1305,extra_trees_cost_regression,alert_context,1536,2304,22,22,0.1801215277777778,,0.03182792299129586,0.006780388257336908,0.038608311248632766,0.17561991286466905,12
1301,hist_gradient_boosting,alert_context,1536,2304,22,22,0.1072048611111111,0.28125,0.05854801452046053,0.013561097594598929,0.07210911211505946,0.1880635774985058,13
1302,hist_gradient_boosting,alert_context,1536,2304,22,22,0.1762152777777778,0.3207465277777778,0.043318638283785224,0.007347626928498762,0.050666265212283984,0.14502010159448928,12
1303,hist_gradient_boosting,alert_context,1536,2304,22,22,0.08854166666666667,0.3754340277777778,0.050478835554612383,-0.0009446872249504358,0.04953414832966195,-0.01907143368375509,14
1304,hist_gradient_boosting,alert_context,1536,2304,22,22,0.234375,0.3663194444444444,0.04007436801394862,0.011956611273085905,0.05203097928703452,0.22979792879019184,12
1305,hist_gradient_boosting,alert_context,1536,2304,22,22,0.2942708333333333,0.4422743055555556,0.029944219086448558,0.00866409216218421,0.038608311248632766,0.22441002680455316,12
1301,multinomial_logistic,alert_context,1536,2304,22,22,0.1154513888888889,0.2934027777777778,0.059281236896317244,0.012827875218742216,0.07210911211505946,0.17789534280041713,13
1302,multinomial_logistic,alert_context,1536,2304,22,22,0.17838541666666666,0.3337673611111111,0.04016767787268489,0.010498587339599099,0.050666265212283984,0.20721060247112366,12
1303,multinomial_logistic,alert_context,1536,2304,22,22,0.10894097222222222,0.32421875,0.046287641006832324,0.0032465073228296285,0.04953414832966195,0.06554079220709162,14
1304,multinomial_logistic,alert_context,1536,2304,22,22,0.2287326388888889,0.3763020833333333,0.043782876354978524,0.008248102932055997,0.05203097928703452,0.1585229231714907,12
1305,multinomial_logistic,alert_context,1536,2304,22,22,0.2864583333333333,0.4466145833333333,0.032309652681255505,0.0062986585673772645,0.038608311248632766,0.16314255567446811,12
1301,ridge_cost_regression,alert_context,1536,2304,22,22,0.0681423611111111,,0.06658115792217562,0.005527954192883853,0.07210911211505946,0.07666096601027736,13
1302,ridge_cost_regression,alert_context,1536,2304,22,22,0.1584201388888889,,0.041798973604778036,0.008867291607505951,0.050666265212283984,0.1750137210696968,12
1303,ridge_cost_regression,alert_context,1536,2304,22,22,0.24913194444444445,,0.03673398798370423,0.012800160345957719,0.04953414832966195,0.25841082924792613,14
1304,ridge_cost_regression,alert_context,1536,2304,22,22,0.22395833333333334,,0.0417138607137733,0.010317118573261216,0.05203097928703452,0.19828799524117577,12
1305,ridge_cost_regression,alert_context,1536,2304,22,22,0.12456597222222222,,0.03660831293543904,0.001999998313193728,0.038608311248632766,0.051802273876057035,12
1301,extra_trees_cost_regression,complete_online_state,1536,2304,22,22,0.10807291666666667,,0.052212794786707185,0.019896317328352273,0.07210911211505946,0.2759195994065925,13
1302,extra_trees_cost_regression,complete_online_state,1536,2304,22,22,0.16883680555555555,,0.03196082016802393,0.01870544504426006,0.050666265212283984,0.36918934059747793,12
1303,extra_trees_cost_regression,complete_online_state,1536,2304,22,22,0.07725694444444445,,0.04055121601494546,0.008982932314716486,0.04953414832966195,0.18134827422352878,14
1304,extra_trees_cost_regression,complete_online_state,1536,2304,22,22,0.1970486111111111,,0.04148952845328798,0.010541450833746543,0.05203097928703452,0.2025995085657237,12
1305,extra_trees_cost_regression,complete_online_state,1536,2304,22,22,0.1644965277777778,,0.03370370628221685,0.004904604966415922,0.038608311248632766,0.12703495200375045,12
1301,hist_gradient_boosting,complete_online_state,1536,2304,22,22,0.1015625,0.2265625,0.06231812068856218,0.009790991426497283,0.07210911211505946,0.1357802244309219,13
