training_source,feature_set,model,seeds,mean_top1_accuracy,mean_top3_accuracy,mean_action_cost_regret,mean_gain_vs_static,mean_fraction_recovered,positive_gain_seeds
rl_train_only,alert_context,extra_trees_cost_regression,5,0.14965277777777777,,0.03854305060360477,0.011262524467504895,0.2339064577048576,5
rl_train_only,alert_context,hist_gradient_boosting,5,0.2029513888888889,0.39713541666666663,0.03969023046148423,0.010115344609625432,0.21171074731047884,5
rl_train_only,alert_context,multinomial_logistic,5,0.20572916666666666,0.3980034722222222,0.040348191102707966,0.009457383968401702,0.19976618868309629,5
rl_train_only,alert_context,ridge_cost_regression,5,0.15355902777777777,,0.04038425587221152,0.009421319198898145,0.1978832309708324,5
rl_train_only,complete_online_state,extra_trees_cost_regression,5,0.16354166666666667,,0.03712140656878344,0.012684168502326228,0.25521435444832885,5
rl_train_only,complete_online_state,hist_gradient_boosting,5,0.14748263888888888,0.31414930555555554,0.0471117604284599,0.002693814642649767,0.054873411978639444,4
rl_train_only,complete_online_state,multinomial_logistic,5,0.11970486111111112,0.28984375,0.048129658796824515,0.0016759162742851518,0.0335224674938014,2
rl_train_only,complete_online_state,ridge_cost_regression,5,0.09565972222222222,,0.04553230520169664,0.004273269869413021,0.08321185919966104,4
rl_train_plus_validation,alert_context,extra_trees_cost_regression,5,0.17838541666666666,,0.03719231270305399,0.013661789256406742,0.2729395048223968,5
rl_train_plus_validation,alert_context,hist_gradient_boosting,5,0.21050347222222224,0.41154513888888894,0.042336387689121895,0.00851771427033883,0.17303355718732105,5
rl_train_plus_validation,alert_context,multinomial_logistic,5,0.22109375,0.41579861111111105,0.04270361902438001,0.008150482935080718,0.16629709701730036,5
rl_train_plus_validation,alert_context,ridge_cost_regression,5,0.16822916666666668,,0.040033245713372405,0.010820856246088322,0.21434476201908303,5
rl_train_plus_validation,complete_online_state,extra_trees_cost_regression,5,0.20069444444444445,,0.03406294091772806,0.016791161041732672,0.3299742153360174,5
rl_train_plus_validation,complete_online_state,hist_gradient_boosting,5,0.19461805555555556,0.3638020833333333,0.043828600633423774,0.007025501326036951,0.13607037846945308,4
rl_train_plus_validation,complete_online_state,multinomial_logistic,5,0.14600694444444445,0.3392361111111111,0.04460252197847391,0.006251579980986813,0.1217782928059719,5
rl_train_plus_validation,complete_online_state,ridge_cost_regression,5,0.14644097222222224,,0.03869910763136836,0.012154994328092372,0.23697241107218572,5
validation_only,alert_context,extra_trees_cost_regression,5,0.17578125,,0.042971416211609416,0.00961834702692512,0.18562459976710716,5
validation_only,alert_context,hist_gradient_boosting,5,0.18012152777777776,0.3572048611111111,0.04447281509185107,0.008116948146683473,0.153644040200797,4
validation_only,alert_context,multinomial_logistic,5,0.18359375,0.3548611111111111,0.04436581696241369,0.00822394627612084,0.15446244326491826,5
validation_only,alert_context,ridge_cost_regression,5,0.16484375,,0.04468725863197405,0.007902504606560494,0.15203515708902662,5
validation_only,complete_online_state,extra_trees_cost_regression,5,0.14314236111111112,,0.03998361314103628,0.012606150097498256,0.23121833495941466,5
validation_only,complete_online_state,hist_gradient_boosting,5,0.18263888888888888,0.32881944444444444,0.04778993583491279,0.004799827403621748,0.08873022441430749,4
validation_only,complete_online_state,multinomial_logistic,5,0.1306423611111111,0.2828125,0.049522170196804736,0.0030675930417298023,0.044175724057765,2
validation_only,complete_online_state,ridge_cost_regression,5,0.11119791666666667,,0.04701186483208504,0.005577898406449499,0.10315654535762446,5
