step,loss,policy_loss,value_loss,entropy_mean,awbc_loss,prior_kl_loss,soc_aux_loss,subtype_aux_loss,subtype_aux_accuracy,advantage_mean,advantage_std,event_rate,awbc_label_rate,greedy_unique_actions,bc_pretrain,bc_steps,bc_accuracy,forecast_weighted_mae_overall,reward_mean
0,1.125225660763681,,,3.032063665986061,0.8267813993617892,,,0.9948141736909747,0.65992431640625,,,0.0,1.0,22,1,4096,0.1817138671875,,
1024,67.23480224609375,-0.0026205417307210155,133.27766013145447,3.0053161084651947,0.0,0.0,0.0,0.773399805650115,0.727783203125,-12.99665641784668,7.557881832122803,0.0,0.0,22,0,0,,,
2048,65.71707290410995,-0.004987729684216902,130.36139678955078,2.9929270893335342,0.0,0.0,0.0,0.5982624827884138,0.8193359375,-10.906291961669922,7.600391864776611,0.0,0.0,22,0,0,,,
3072,17.14337944984436,-0.013838448358001187,33.1723729968071,2.9966394901275635,0.0,0.0,0.0,0.6979439901188016,0.7620849609375,-5.694581985473633,4.389500617980957,0.0,0.0,22,0,0,,,
4096,27.225810289382935,-0.002712624438572675,53.53179430961609,2.963249556720257,0.0,0.0,0.0,0.5571930077858269,0.8426513671875,-6.170366287231445,6.395671844482422,0.0,0.0,22,0,0,,,
5120,105.97094237804413,-0.004002545450930484,210.8889194726944,2.9848693422973156,0.0,0.0,0.0,0.5665754657238722,0.8262939453125,-9.703790664672852,11.798787117004395,0.0,0.0,22,0,0,,,
6144,20.259025037288666,-7.311865920200944e-05,39.40485814213753,2.9856309480965137,0.0,0.0,0.0,0.5799684496596456,0.882568359375,-5.152091026306152,4.863533020019531,0.0,0.0,22,0,0,,,
7168,26.811391949653625,0.003342958298162557,52.5661436021328,3.001952789723873,0.0,0.0,0.0,0.4635451934300363,0.8818359375,-6.438009262084961,6.612742900848389,0.0,0.0,22,0,0,,,
8192,9.167352572083473,0.0009828335605561733,17.428245671093464,2.9886853396892548,0.0,0.0,0.0,0.34460834157653153,0.911376953125,-2.4147846698760986,4.172543525695801,0.0,0.0,22,0,0,,,
9216,74.01521894335747,0.004187747690593824,146.90756624937057,3.013192404061556,0.0,0.0,0.0,0.46276020957157016,0.854248046875,-4.411080837249756,11.668164253234863,0.0,0.0,22,0,0,,,
10240,47.20067971944809,0.0045907932944828644,93.46455770730972,3.013993203639984,0.0,0.0,0.0,0.3969537429511547,0.8963623046875,-5.3793745040893555,8.711222648620605,0.0,0.0,22,0,0,,,
11264,8.734122429043055,-0.0021698721538996324,16.508707121014595,2.997851125895977,0.0,0.0,0.0,0.33435163646936417,0.926025390625,0.3667166233062744,4.193203926086426,0.0,0.0,22,0,0,,,
12288,22.329480782151222,-0.007637217262526974,43.63879281282425,3.0377327166497707,0.0,0.0,0.0,0.3662924566306174,0.8885498046875,-4.314657688140869,5.7385573387146,0.0,0.0,22,0,0,,,
13312,12.672952219843864,0.004138036485528573,24.398710548877716,2.9809981659054756,0.0,0.0,0.0,0.377212947467342,0.918212890625,-1.3357455730438232,4.944876670837402,0.0,0.0,22,0,0,,,
14336,38.369957745075226,-0.002933449111878872,75.84242981672287,2.9694565273821354,0.0,0.0,0.0,0.3244211252313107,0.9090576171875,-5.7028303146362305,7.827751636505127,0.0,0.0,22,0,0,,,
15360,44.00735640525818,-0.00034022555337287486,87.1316704750061,2.9891021847724915,0.0,0.0,0.0,0.22543020080775023,0.9296875,-8.099874496459961,6.413019180297852,0.0,0.0,22,0,0,,,
16384,37.79007172584534,-0.010314990562619641,74.646360039711,3.0204680263996124,0.0,0.0,0.0,0.38857439905405045,0.872314453125,-4.479783058166504,8.49533462524414,0.0,0.0,22,0,0,,,
17408,27.77499647438526,-0.0036368945438880473,54.644371807575226,3.0074634067714214,0.0,0.0,0.0,0.32728067599236965,0.9163818359375,-2.5830392837524414,7.855077266693115,0.0,0.0,22,0,0,,,
18432,66.69771042466164,-0.012413874181220308,132.57838451862335,2.9794567227363586,0.0,0.0,0.0,0.34395937575027347,0.900146484375,-2.2925915718078613,12.04199504852295,0.0,0.0,22,0,0,,,
19456,27.965779647231102,-0.001674258877756074,55.01617759466171,2.977447148412466,0.0,0.0,0.0,0.2715487133245915,0.928955078125,-2.4925546646118164,8.616929054260254,0.0,0.0,22,0,0,,,
20480,32.56233939528465,-0.006695516378385946,64.24461805820465,3.0107710771262646,0.0,0.0,0.0,0.2510389513336122,0.9090576171875,-3.943830728530884,9.527090072631836,0.0,0.0,22,0,0,,,
