path,policy,steps,sensors,event_rate,unique_mask_count,unique_mask_fraction,top1_mask_fraction,top2_mask_fraction,top3_mask_fraction,mask_entropy_bits,transition_count,transition_entropy_bits,switches_per_step,best_period,best_period_match,event_mask_mi_bits,event_sensor_l1,event_sensor_linf,event_state_dependent,subtype_mask_mi_bits,subtype_sensor_l1,subtype_state_dependent,subtype_label_counts_json,state_dependent,fixed_like,simple_cycle_like,low_complexity,weak_state_dependence,behavior_complexity_gate_pass,top_masks_json,sensor_duty_json
reports/v133_fresh_soft_onpolicy_temp075_seed1401_b1p75_20260822/rollout_custom_ppo.npz,custom_ppo,2304,6,0.6011284722222222,10,0.004340277777777778,0.5559895833333334,0.7300347222222222,0.8871527777777778,1.9559964258638738,37,2.397081683925887,0.02373715443624258,1,0.929656969170647,0.24950096126051768,1.1677785066957884,0.5461720674253524,True,0.39002753104527166,1.7991390225373516,True,"{""0"": 1504, ""1"": 110, ""2"": 331, ""3"": 359}",True,False,False,False,False,True,"[{""mask"": ""110000"", ""count"": 1281, ""fraction"": 0.5559895833333334}, {""mask"": ""100100"", ""count"": 401, ""fraction"": 0.1740451388888889}, {""mask"": ""100001"", ""count"": 362, ""fraction"": 0.15711805555555555}, {""mask"": ""101000"", ""count"": 90, ""fraction"": 0.0390625}, {""mask"": ""001100"", ""count"": 68, ""fraction"": 0.029513888888888888}]","[{""sensor"": ""met_station_core"", ""duty"": 0.9370659722222222, ""event_duty"": 0.9220216606498195, ""non_event_duty"": 0.9597388465723613, ""event_abs_delta"": 0.03771718592254181}, {""sensor"": ""radiometer_basic"", ""duty"": 0.5868055555555556, ""event_duty"": 0.3689530685920578, ""non_event_duty"": 0.9151251360174102, ""event_abs_delta"": 0.5461720674253524}, {""sensor"": ""shielded_thermo_hygro"", ""duty"": 0.0842013888888889, ""event_duty"": 0.11552346570397112, ""non_event_duty"": 0.036996735582154515, ""event_abs_delta"": 0.0785267301218166}, {""sensor"": ""surface_temp_ir"", ""duty"": 0.2109375, ""event_duty"": 0.3191335740072202, ""non_event_duty"": 0.04787812840043525, ""event_abs_delta"": 0.27125544560678494}, {""sensor"": ""laser_disdrometer"", ""duty"": 0.021267361111111112, ""event_duty"": 0.027436823104693142, ""non_event_duty"": 0.011969532100108813, ""event_abs_delta"": 0.015467291004584329}, {""sensor"": ""fc4_flux"", ""duty"": 0.1597222222222222, ""event_duty"": 0.24693140794223828, ""non_event_duty"": 0.028291621327529923, ""event_abs_delta"": 0.21863978661470834}]"
reports/v133_fresh_soft_onpolicy_temp075_seed1402_b1p75_20260822/rollout_custom_ppo.npz,custom_ppo,2304,6,0.4526909722222222,9,0.00390625,0.4361979166666667,0.7625868055555556,0.8467881944444444,2.0693468528373002,33,2.37167527245709,0.014039658416558111,1,0.9570125922709509,0.23316603002608516,1.0621103797606948,0.3627400068277395,True,0.2567951840309022,2.506578947368421,True,"{""0"": 1816, ""1"": 48, ""2"": 269, ""3"": 171}",True,False,False,False,False,True,"[{""mask"": ""100100"", ""count"": 1005, ""fraction"": 0.4361979166666667}, {""mask"": ""100001"", ""count"": 752, ""fraction"": 0.3263888888888889}, {""mask"": ""100010"", ""count"": 194, ""fraction"": 0.0842013888888889}, {""mask"": ""110000"", ""count"": 138, ""fraction"": 0.059895833333333336}, {""mask"": ""001100"", ""count"": 129, ""fraction"": 0.055989583333333336}]","[{""sensor"": ""met_station_core"", ""duty"": 0.9171006944444444, ""event_duty"": 0.8322147651006712, ""non_event_duty"": 0.9873116574147502, ""event_abs_delta"": 0.15509689231407908}, {""sensor"": ""radiometer_basic"", ""duty"": 0.059895833333333336, ""event_duty"": 0.04793863854266539, ""non_event_duty"": 0.06978588421887391, ""event_abs_delta"": 0.02184724567620852}, {""sensor"": ""shielded_thermo_hygro"", ""duty"": 0.08289930555555555, ""event_duty"": 0.1725790987535954, ""non_event_duty"": 0.008723235527359239, ""event_abs_delta"": 0.16385586322623616}, {""sensor"": ""surface_temp_ir"", ""duty"": 0.4947916666666667, ""event_duty"": 0.2962607861936721, ""non_event_duty"": 0.6590007930214116, ""event_abs_delta"": 0.3627400068277395}, {""sensor"": ""laser_disdrometer"", ""duty"": 0.08680555555555555, ""event_duty"": 0.15436241610738255, ""non_event_duty"": 0.030927835051546393, ""event_abs_delta"": 0.12343458105583616}, {""sensor"": ""fc4_flux"", ""duty"": 0.3506944444444444, ""event_duty"": 0.4793863854266539, ""non_event_duty"": 0.24425059476605868, ""event_abs_delta"": 0.23513579066059523}]"
reports/v133_fresh_soft_onpolicy_temp075_seed1403_b1p75_20260822/rollout_custom_ppo.npz,custom_ppo,2304,6,0.6657986111111112,15,0.006510416666666667,0.2643229166666667,0.4461805555555556,0.6197916666666666,2.891996844973649,77,3.6194524604628437,0.040526849037487336,1,0.8888406426400347,0.25824570040117667,1.1500533364940142,0.32704075585431513,True,0.25649222768910906,1.602481507993319,True,"{""0"": 1541, ""1"": 22, ""2"": 381, ""3"": 360}",True,False,False,False,False,True,"[{""mask"": ""110000"", ""count"": 609, ""fraction"": 0.2643229166666667}, {""mask"": ""101000"", ""count"": 419, ""fraction"": 0.1818576388888889}, {""mask"": ""100100"", ""count"": 400, ""fraction"": 0.1736111111111111}, {""mask"": ""100001"", ""count"": 397, ""fraction"": 0.1723090277777778}, {""mask"": ""100010"", ""count"": 146, ""fraction"": 0.06336805555555555}]","[{""sensor"": ""met_station_core"", ""duty"": 0.85546875, ""event_duty"": 0.8272490221642764, ""non_event_duty"": 0.9116883116883117, ""event_abs_delta"": 0.08443928952403523}, {""sensor"": ""radiometer_basic"", ""duty"": 0.3355034722222222, ""event_duty"": 0.22620599739243807, ""non_event_duty"": 0.5532467532467532, ""event_abs_delta"": 0.32704075585431513}, {""sensor"": ""shielded_thermo_hygro"", ""duty"": 0.2417534722222222, ""event_duty"": 0.18578878748370273, ""non_event_duty"": 0.35324675324675325, ""event_abs_delta"": 0.16745796576305053}, {""sensor"": ""surface_temp_ir"", ""duty"": 0.2400173611111111, ""event_duty"": 0.3213820078226858, ""non_event_duty"": 0.07792207792207792, ""event_abs_delta"": 0.24345992990060786}, {""sensor"": ""laser_disdrometer"", ""duty"": 0.08940972222222222, ""event_duty"": 0.11473272490221642, ""non_event_duty"": 0.03896103896103896, ""event_abs_delta"": 0.07577168594117746}, {""sensor"": ""fc4_flux"", ""duty"": 0.2326388888888889, ""event_duty"": 0.31681877444589307, ""non_event_duty"": 0.06493506493506493, ""event_abs_delta"": 0.25188370951082817}]"
reports/v133_fresh_soft_onpolicy_temp075_seed1404_b1p75_20260822/rollout_custom_ppo.npz,custom_ppo,2304,6,0.5034722222222222,13,0.005642361111111111,0.5451388888888888,0.7022569444444444,0.7973090277777778,2.256230909413147,55,2.726581922274008,0.02402663192936749,1,0.9292227529309596,0.16741080877138304,0.7727755003617072,0.2937424644321196,True,0.22587133995415964,1.8352296670880741,True,"{""0"": 1658, ""1"": 21, ""2"": 339, ""3"": 286}",True,False,False,False,False,True,"[{""mask"": ""100100"", ""count"": 1256, ""fraction"": 0.5451388888888888}, {""mask"": ""101000"", ""count"": 362, ""fraction"": 0.15711805555555555}, {""mask"": ""000101"", ""count"": 219, ""fraction"": 0.09505208333333333}, {""mask"": ""001001"", ""count"": 128, ""fraction"": 0.05555555555555555}, {""mask"": ""100001"", ""count"": 97, ""fraction"": 0.04210069444444445}]","[{""sensor"": ""met_station_core"", ""duty"": 0.7734375, ""event_duty"": 0.6275862068965518, ""non_event_duty"": 0.9213286713286714, ""event_abs_delta"": 0.2937424644321196}, {""sensor"": ""radiometer_basic"", ""duty"": 0.013020833333333334, ""event_duty"": 0.00603448275862069, ""non_event_duty"": 0.020104895104895104, ""event_abs_delta"": 0.014070412346274415}, {""sensor"": ""shielded_thermo_hygro"", ""duty"": 0.2439236111111111, ""event_duty"": 0.21379310344827587, ""non_event_duty"": 0.2744755244755245, ""event_abs_delta"": 0.060682421027248606}, {""sensor"": ""surface_temp_ir"", ""duty"": 0.6506076388888888, ""event_duty"": 0.6293103448275862, ""non_event_duty"": 0.6722027972027972, ""event_abs_delta"": 0.042892452375211}, {""sensor"": ""laser_disdrometer"", ""duty"": 0.0642361111111111, ""event_duty"": 0.10344827586206896, ""non_event_duty"": 0.024475524475524476, ""event_abs_delta"": 0.07897275138654448}, {""sensor"": ""fc4_flux"", ""duty"": 0.22960069444444445, ""event_duty"": 0.36982758620689654, ""non_event_duty"": 0.08741258741258741, ""event_abs_delta"": 0.28241499879430915}]"
reports/v133_fresh_soft_onpolicy_temp075_seed1405_b1p75_20260822/rollout_custom_ppo.npz,custom_ppo,2304,6,0.640625,11,0.004774305555555556,0.2786458333333333,0.4900173611111111,0.6762152777777778,2.7143544423544683,48,3.3648737604443193,0.035750470400926326,1,0.8957881024750326,0.18584813580335968,0.9589371980676329,0.2692058442323554,True,0.3607928371799787,2.4280266208031107,True,"{""0"": 1588, ""1"": 43, ""2"": 362, ""3"": 311}",True,False,False,False,False,True,"[{""mask"": ""100001"", ""count"": 642, ""fraction"": 0.2786458333333333}, {""mask"": ""100100"", ""count"": 487, ""fraction"": 0.2113715277777778}, {""mask"": ""101000"", ""count"": 429, ""fraction"": 0.18619791666666666}, {""mask"": ""000011"", ""count"": 238, ""fraction"": 0.1032986111111111}, {""mask"": ""001100"", ""count"": 204, ""fraction"": 0.08854166666666667}]","[{""sensor"": ""met_station_core"", ""duty"": 0.7760416666666666, ""event_duty"": 0.714769647696477, ""non_event_duty"": 0.8852657004830918, ""event_abs_delta"": 0.17049605278661484}, {""sensor"": ""radiometer_basic"", ""duty"": 0.07335069444444445, ""event_duty"": 0.022357723577235773, ""non_event_duty"": 0.1642512077294686, ""event_abs_delta"": 0.14189348415223282}, {""sensor"": ""shielded_thermo_hygro"", ""duty"": 0.2938368055555556, ""event_duty"": 0.2350948509485095, ""non_event_duty"": 0.39855072463768115, ""event_abs_delta"": 0.16345587368917167}, {""sensor"": ""surface_temp_ir"", ""duty"": 0.3077256944444444, ""event_duty"": 0.40447154471544716, ""non_event_duty"": 0.13526570048309178, ""event_abs_delta"": 0.2692058442323554}, {""sensor"": ""laser_disdrometer"", ""duty"": 0.1349826388888889, ""event_duty"": 0.18089430894308944, ""non_event_duty"": 0.05314009661835749, ""event_abs_delta"": 0.12775421232473194}, {""sensor"": ""fc4_flux"", ""duty"": 0.4114583333333333, ""event_duty"": 0.4424119241192412, ""non_event_duty"": 0.35628019323671495, ""event_abs_delta"": 0.08613173088252624}]"
reports/v133_fresh_soft_onpolicy_temp075_seed1406_b1p75_20260822/rollout_custom_ppo.npz,custom_ppo,2304,6,0.6150173611111112,13,0.005642361111111111,0.3958333333333333,0.7573784722222222,0.8511284722222222,2.190826138408269,47,2.610975650563006,0.021710811984368215,1,0.9361702127659575,0.08883630462239056,0.5489995457001031,0.2035915947358497,True,0.39052166713405123,2.9071987480438186,True,"{""0"": 1537, ""1"": 45, ""2"": 426, ""3"": 296}",True,False,False,False,False,True,"[{""mask"": ""110000"", ""count"": 912, ""fraction"": 0.3958333333333333}, {""mask"": ""100100"", ""count"": 833, ""fraction"": 0.3615451388888889}, {""mask"": ""010001"", ""count"": 216, ""fraction"": 0.09375}, {""mask"": ""100001"", ""count"": 128, ""fraction"": 0.05555555555555555}, {""mask"": ""101000"", ""count"": 60, ""fraction"": 0.026041666666666668}]","[{""sensor"": ""met_station_core"", ""duty"": 0.8493923611111112, ""event_duty"": 0.7889908256880734, ""non_event_duty"": 0.9458850056369785, ""event_abs_delta"": 0.1568941799489051}, {""sensor"": ""radiometer_basic"", ""duty"": 0.5052083333333334, ""event_duty"": 0.46153846153846156, ""non_event_duty"": 0.5749718151071026, ""event_abs_delta"": 0.11343335356864104}, {""sensor"": ""shielded_thermo_hygro"", ""duty"": 0.03125, ""event_duty"": 0.043754410726887794, ""non_event_duty"": 0.011273957158962795, ""event_abs_delta"": 0.032480453567925}, {""sensor"": ""surface_temp_ir"", ""duty"": 0.3967013888888889, ""event_duty"": 0.392378263937897, ""non_event_duty"": 0.4036076662908681, ""event_abs_delta"": 0.011229402352971096}, {""sensor"": ""laser_disdrometer"", ""duty"": 0.04296875, ""event_duty"": 0.05504587155963303, ""non_event_duty"": 0.02367531003382187, ""event_abs_delta"": 0.031370561525811164}, {""sensor"": ""fc4_flux"", ""duty"": 0.1657986111111111, ""event_duty"": 0.24417784050811575, ""non_event_duty"": 0.040586245772266064, ""event_abs_delta"": 0.2035915947358497}]"
reports/v134_fresh_soft_onpolicy_temp075_seed1407_b1p75_20260822/rollout_custom_ppo.npz,custom_ppo,2304,6,0.5329861111111112,6,0.0026041666666666665,0.5889756944444444,0.87890625,0.9717881944444444,1.469232810283145,22,1.7043194729201148,0.010855405992184106,1,0.9674337820234477,0.1010375266132224,0.6753811317099163,0.3245371323395857,True,0.14073697796342466,1.413470250679553,True,"{""0"": 1725, ""1"": 22, ""2"": 301, ""3"": 256}",True,False,False,True,False,False,"[{""mask"": ""100100"", ""count"": 1357, ""fraction"": 0.5889756944444444}, {""mask"": ""101000"", ""count"": 668, ""fraction"": 0.2899305555555556}, {""mask"": ""100001"", ""count"": 214, ""fraction"": 0.09288194444444445}, {""mask"": ""100010"", ""count"": 33, ""fraction"": 0.014322916666666666}, {""mask"": ""000101"", ""count"": 26, ""fraction"": 0.011284722222222222}]","[{""sensor"": ""met_station_core"", ""duty"": 0.9861111111111112, ""event_duty"": 0.9788273615635179, ""non_event_duty"": 0.9944237918215614, ""event_abs_delta"": 0.01559643025804347}, {""sensor"": ""radiometer_basic"", ""duty"": 0.0, ""event_duty"": 0.0, ""non_event_duty"": 0.0, ""event_abs_delta"": 0.0}, {""sensor"": ""shielded_thermo_hygro"", ""duty"": 0.2899305555555556, ""event_duty"": 0.3697068403908795, ""non_event_duty"": 0.19888475836431227, ""event_abs_delta"": 0.1708220820265672}, {""sensor"": ""surface_temp_ir"", ""duty"": 0.6002604166666666, ""event_duty"": 0.44869706840390877, ""non_event_duty"": 0.7732342007434945, ""event_abs_delta"": 0.3245371323395857}, {""sensor"": ""laser_disdrometer"", ""duty"": 0.014322916666666666, ""event_duty"": 0.026058631921824105, ""non_event_duty"": 0.0009293680297397769, ""event_abs_delta"": 0.02512926389208433}, {""sensor"": ""fc4_flux"", ""duty"": 0.10677083333333333, ""event_duty"": 0.17182410423452768, ""non_event_duty"": 0.032527881040892194, ""event_abs_delta"": 0.1392962231936355}]"
reports/v134_fresh_soft_onpolicy_temp075_seed1408_b1p75_20260822/rollout_custom_ppo.npz,custom_ppo,2304,6,0.5616319444444444,18,0.0078125,0.3250868055555556,0.4683159722222222,0.5629340277777778,3.189816367339517,94,3.8798129726959183,0.03401360544217687,1,0.8940512375162831,0.5478469394660315,2.3535954213659385,0.6545380813197239,True,0.3745375792587611,2.412490922294844,True,"{""0"": 1635, ""1"": 39, ""2"": 306, ""3"": 324}",True,False,False,False,False,True,"[{""mask"": ""101000"", ""count"": 749, ""fraction"": 0.3250868055555556}, {""mask"": ""000011"", ""count"": 330, ""fraction"": 0.14322916666666666}, {""mask"": ""011000"", ""count"": 218, ""fraction"": 0.09461805555555555}, {""mask"": ""100100"", ""count"": 195, ""fraction"": 0.08463541666666667}, {""mask"": ""000110"", ""count"": 188, ""fraction"": 0.08159722222222222}]","[{""sensor"": ""met_station_core"", ""duty"": 0.4470486111111111, ""event_duty"": 0.2596599690880989, ""non_event_duty"": 0.6871287128712872, ""event_abs_delta"": 0.4274687437831883}, {""sensor"": ""radiometer_basic"", ""duty"": 0.1154513888888889, ""event_duty"": 0.0571870170015456, ""non_event_duty"": 0.1900990099009901, ""event_abs_delta"": 0.1329119928994445}, {""sensor"": ""shielded_thermo_hygro"", ""duty"": 0.5759548611111112, ""event_duty"": 0.2890262751159196, ""non_event_duty"": 0.9435643564356435, ""event_abs_delta"": 0.6545380813197239}, {""sensor"": ""surface_temp_ir"", ""duty"": 0.25, ""event_duty"": 0.41653786707882534, ""non_event_duty"": 0.03663366336633663, ""event_abs_delta"": 0.37990420371248873}, {""sensor"": ""laser_disdrometer"", ""duty"": 0.32421875, ""event_duty"": 0.5510046367851623, ""non_event_duty"": 0.033663366336633666, ""event_abs_delta"": 0.5173412704485286}, {""sensor"": ""fc4_flux"", ""duty"": 0.22569444444444445, ""event_duty"": 0.3315301391035549, ""non_event_duty"": 0.0900990099009901, ""event_abs_delta"": 0.2414311292025648}]"
reports/v134_fresh_soft_onpolicy_temp075_seed1409_b1p75_20260822/rollout_custom_ppo.npz,custom_ppo,2304,6,0.5863715277777778,15,0.006510416666666667,0.5442708333333334,0.6796875,0.73828125,2.4406147124925845,71,3.050854649260569,0.03401360544217687,1,0.9053408597481546,0.20306577032556383,1.1986659448560508,0.37379408047981244,True,0.19888358680213214,1.3769247451745825,True,"{""0"": 1638, ""2"": 348, ""3"": 318}",True,False,False,False,False,True,"[{""mask"": ""100100"", ""count"": 1254, ""fraction"": 0.5442708333333334}, {""mask"": ""001100"", ""count"": 312, ""fraction"": 0.13541666666666666}, {""mask"": ""001010"", ""count"": 135, ""fraction"": 0.05859375}, {""mask"": ""110000"", ""count"": 125, ""fraction"": 0.054253472222222224}, {""mask"": ""100001"", ""count"": 100, ""fraction"": 0.043402777777777776}]","[{""sensor"": ""met_station_core"", ""duty"": 0.6853298611111112, ""event_duty"": 0.5307179866765359, ""non_event_duty"": 0.9045120671563484, ""event_abs_delta"": 0.37379408047981244}, {""sensor"": ""radiometer_basic"", ""duty"": 0.08897569444444445, ""event_duty"": 0.07105847520355292, ""non_event_duty"": 0.11437565582371459, ""event_abs_delta"": 0.04331718062016167}, {""sensor"": ""shielded_thermo_hygro"", ""duty"": 0.22743055555555555, ""event_duty"": 0.35751295336787564, ""non_event_duty"": 0.04302203567681007, ""event_abs_delta"": 0.3144909176910656}, {""sensor"": ""surface_temp_ir"", ""duty"": 0.7703993055555556, ""event_duty"": 0.6935603256846781, ""non_event_duty"": 0.8793284365162645, ""event_abs_delta"": 0.1857681108315864}, {""sensor"": ""laser_disdrometer"", ""duty"": 0.1254340277777778, ""event_duty"": 0.19170984455958548, ""non_event_duty"": 0.03147953830010493, ""event_abs_delta"": 0.16023030625948054}, {""sensor"": ""fc4_flux"", ""duty"": 0.09722222222222222, ""event_duty"": 0.14729829755736493, ""non_event_duty"": 0.026232948583420776, ""event_abs_delta"": 0.12106534897394415}]"
reports/v134_fresh_soft_onpolicy_temp075_seed1410_b1p75_20260822/rollout_custom_ppo.npz,custom_ppo,2304,6,0.4140625,15,0.006510416666666667,0.5203993055555556,0.65234375,0.7339409722222222,2.4938846745730214,63,3.1928156418133335,0.039803155304675056,1,0.8840642640034737,0.28066982588307576,1.0034102026554856,0.2665408805031447,True,0.1583213995551298,1.2301176183801572,True,"{""0"": 1852, ""2"": 269, ""3"": 183}",True,False,False,False,False,True,"[{""mask"": ""100100"", ""count"": 1199, ""fraction"": 0.5203993055555556}, {""mask"": ""010100"", ""count"": 304, ""fraction"": 0.13194444444444445}, {""mask"": ""000110"", ""count"": 188, ""fraction"": 0.08159722222222222}, {""mask"": ""000101"", ""count"": 130, ""fraction"": 0.05642361111111111}, {""mask"": ""001100"", ""count"": 95, ""fraction"": 0.04123263888888889}]","[{""sensor"": ""met_station_core"", ""duty"": 0.6297743055555556, ""event_duty"": 0.4758909853249476, ""non_event_duty"": 0.7385185185185185, ""event_abs_delta"": 0.26262753319357085}, {""sensor"": ""radiometer_basic"", ""duty"": 0.1740451388888889, ""event_duty"": 0.09014675052410902, ""non_event_duty"": 0.23333333333333334, ""event_abs_delta"": 0.1431865828092243}, {""sensor"": ""shielded_thermo_hygro"", ""duty"": 0.0859375, ""event_duty"": 0.1289308176100629, ""non_event_duty"": 0.05555555555555555, ""event_abs_delta"": 0.07337526205450734}, {""sensor"": ""surface_temp_ir"", ""duty"": 0.8658854166666666, ""event_duty"": 0.8039832285115304, ""non_event_duty"": 0.9096296296296297, ""event_abs_delta"": 0.10564640111809931}, {""sensor"": ""laser_disdrometer"", ""duty"": 0.12369791666666667, ""event_duty"": 0.279874213836478, ""non_event_duty"": 0.013333333333333334, ""event_abs_delta"": 0.2665408805031447}, {""sensor"": ""fc4_flux"", ""duty"": 0.08072916666666667, ""event_duty"": 0.16981132075471697, ""non_event_duty"": 0.017777777777777778, ""event_abs_delta"": 0.1520335429769392}]"
