reference,metric,n_seeds,wins_custom,ties,mean_margin_reference_minus_custom,min_margin,max_margin
validation_selected_static,oracle_loss_mean,2,0,0,-0.0416136252841898,-0.04322770653317609,-0.039999544035203505
validation_selected_static,oracle_loss_macro_subtype_event_staticnorm,2,0,0,-0.1519480013114503,-0.22955093163172613,-0.07434507099117449
feasible_static_projected,oracle_loss_mean,2,0,0,-0.043769410473529835,-0.04431111441388358,-0.04322770653317609
feasible_static_projected,oracle_loss_macro_subtype_event_staticnorm,2,0,0,-0.10263576978463151,-0.13092646857808854,-0.07434507099117449
full_open_unconstrained,oracle_loss_mean,2,0,0,-0.0916945766814477,-0.09707824292031009,-0.08631091044258532
full_open_unconstrained,oracle_loss_macro_subtype_event_staticnorm,2,0,0,-0.23873860129909813,-0.26024305811679216,-0.2172341444814041
aoi,oracle_loss_mean,2,0,0,-0.04800578307630379,-0.05711571515389041,-0.038895850998717174
aoi,oracle_loss_macro_subtype_event_staticnorm,2,0,0,-0.15576853561998716,-0.1736532497191936,-0.1378838215207807
random,oracle_loss_mean,2,0,0,-0.027284598282990014,-0.029755998034185382,-0.024813198531794645
random,oracle_loss_macro_subtype_event_staticnorm,2,0,0,-0.08324907718129765,-0.11913582664263134,-0.04736232771996396
round_robin,oracle_loss_mean,2,0,0,-0.028420195125128195,-0.03978538091178052,-0.01705500933847587
round_robin,oracle_loss_macro_subtype_event_staticnorm,2,0,0,-0.10791881789918423,-0.13493849442495132,-0.08089914137341714
