seed,policy,steps,optional_sensor_count,mandatory_sensor_ids,mandatory_always_on_count,optional_always_on_count,optional_always_off_count,optional_mid_duty_count,optional_selected_count_mean,optional_unique_mask_count,dynamic_cost_mean_w,dynamic_cost_max_w,dynamic_cost_violations,feasible_mask_count_min,feasible_mask_count_median,feasible_mask_count_max,selected_masks_feasible,warmup_abort_count
7181,aoi,6144,5,cr1000xe_backbone,1,3,1,1,3.1272786458333335,4,0.489379296875,1.8756,0,8,8.0,28,True,1
7181,custom_ppo,6144,5,cr1000xe_backbone,1,0,1,4,1.07275390625,14,0.31309374999999995,1.5,0,8,8.0,28,True,0
7181,feasible_static_projected,6144,5,cr1000xe_backbone,1,3,1,1,3.1302083333333335,2,0.4746625,0.7355999999999998,0,8,8.0,28,True,0
7181,full_open_unconstrained,6144,5,cr1000xe_backbone,1,3,1,1,3.1302083333333335,2,0.4746625,0.7355999999999998,0,8,8.0,28,True,0
7181,random,6144,5,cr1000xe_backbone,1,0,1,4,1.599609375,25,0.2485779296875,1.9356,0,8,8.0,28,True,0
7181,round_robin,6144,5,cr1000xe_backbone,1,0,1,4,1.0501302083333333,9,0.18746679687499998,1.56,0,8,8.0,28,True,1
7182,aoi,6144,5,cr1000xe_backbone,1,3,1,1,3.1263020833333335,4,0.48920351562500003,1.8756,0,8,8.0,28,True,1
7182,custom_ppo,6144,5,cr1000xe_backbone,1,0,2,3,1.3889973958333333,16,0.25851542968749996,1.8756,0,8,8.0,28,True,0
7182,feasible_static_projected,6144,5,cr1000xe_backbone,1,3,1,1,3.1272786458333335,2,0.47378359374999995,0.7355999999999998,0,8,8.0,28,True,0
7182,full_open_unconstrained,6144,5,cr1000xe_backbone,1,3,1,1,3.1272786458333335,2,0.47378359374999995,0.7355999999999998,0,8,8.0,28,True,0
7182,random,6144,5,cr1000xe_backbone,1,0,1,4,1.56201171875,24,0.24746152343750003,1.9356,0,8,8.0,28,True,0
7182,round_robin,6144,5,cr1000xe_backbone,1,0,2,3,1.03955078125,9,0.18743320312499998,1.56,0,8,8.0,28,True,1
7183,aoi,6144,5,cr1000xe_backbone,1,3,1,1,3.1236979166666665,4,0.48929140625,1.8756,0,8,8.0,28,True,1
7183,custom_ppo,6144,5,cr1000xe_backbone,1,0,1,4,1.5099283854166667,14,0.39855468749999995,1.86,0,8,8.0,28,True,0
7183,feasible_static_projected,6144,5,cr1000xe_backbone,1,3,1,1,3.1256510416666665,2,0.47329531249999995,0.7355999999999998,0,8,8.0,28,True,0
7183,full_open_unconstrained,6144,5,cr1000xe_backbone,1,3,1,1,3.1256510416666665,2,0.47329531249999995,0.7355999999999998,0,8,8.0,28,True,0
7183,random,6144,5,cr1000xe_backbone,1,0,1,4,1.5283203125,22,0.242291015625,1.9356,0,8,8.0,28,True,1
7183,round_robin,6144,5,cr1000xe_backbone,1,0,1,4,1.0428059895833333,9,0.18576249999999997,1.56,0,8,8.0,28,True,0
7184,aoi,6144,5,cr1000xe_backbone,1,3,1,1,3.1240234375,4,0.49037539062499996,1.8756,0,8,8.0,28,True,0
7184,custom_ppo,6144,5,cr1000xe_backbone,1,1,1,3,2.1964518229166665,14,0.443915625,1.9356,0,8,8.0,28,True,1
7184,feasible_static_projected,6144,5,cr1000xe_backbone,1,3,1,1,3.125,2,0.4730999999999999,0.7355999999999998,0,8,8.0,28,True,0
7184,full_open_unconstrained,6144,5,cr1000xe_backbone,1,3,1,1,3.125,2,0.4730999999999999,0.7355999999999998,0,8,8.0,28,True,0
7184,random,6144,5,cr1000xe_backbone,1,0,1,4,1.4973958333333333,25,0.24075253906250002,1.9356,0,8,8.0,28,True,0
7184,round_robin,6144,5,cr1000xe_backbone,1,0,2,3,1.0348307291666667,9,0.18344355468749998,1.56,0,8,8.0,28,True,1
