mode,seed,ordinary_margin_vs_strongest_static,macro_margin_vs_strongest_static,ordinary_margin_vs_validation_static,macro_margin_vs_validation_static,mid_duty_sensor_count,always_on_sensor_count,always_off_sensor_count,warmup_abort_count
validation,901,-0.010997402505987908,0.011317794702737194,-0.010997402505987908,0.011317794702737194,4,0,0,0
validation,902,0.0687939135257492,0.3718078661848101,0.11528669687039739,0.9725363610854127,4,0,2,0
validation,903,0.024068866958259605,0.10474099633189815,0.08547097519719193,0.31516768064625844,5,0,1,0
validation,904,0.0054172137800682085,0.06923861297727218,0.0054172137800682085,0.06923861297727218,6,0,0,0
validation,905,0.04748944514722092,0.2507951371800128,0.04748944514722092,0.2507951371800128,3,0,3,0
continuity_guarded,901,-0.0020645602457484147,0.031585389559730004,-0.0020645602457484147,0.031585389559730004,4,1,0,0
continuity_guarded,902,0.04256084994995041,0.32306929608258406,0.08905363329459859,0.9237977909831867,4,1,1,0
continuity_guarded,903,0.016732709417637104,-0.01809633544684397,0.07813481765656943,0.19233034886751632,3,1,2,0
continuity_guarded,904,0.013036202370939387,0.0773595521853474,0.013036202370939387,0.0773595521853474,3,2,1,0
continuity_guarded,905,0.06392862336845911,0.2972751082692253,0.06392862336845911,0.2972751082692253,3,1,2,0
