policy,steps,reward_mean,instant_mae,oracle_loss_mean,dtw_mean,power_mean,peak_power_max,event_rate,warmup_abort_count,switches_per_step,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,duty_min,duty_max,duty_std,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,seed,run_dir,eval_steps_per_start,eval_start_count,diagnostic_privilege,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm,custom_ppo_oracle_loss_mean,custom_ppo_oracle_loss_macro_subtype_event,validation_selected_static_oracle_loss_mean,validation_selected_static_oracle_loss_macro_subtype_event,feasible_static_projected_oracle_loss_mean,feasible_static_projected_oracle_loss_macro_subtype_event,round_robin_oracle_loss_mean,round_robin_oracle_loss_macro_subtype_event,aoi_oracle_loss_mean,aoi_oracle_loss_macro_subtype_event,random_oracle_loss_mean,random_oracle_loss_macro_subtype_event,custom_ppo_oracle_loss_subtype_particle,custom_ppo_oracle_loss_subtype_flux,custom_ppo_oracle_loss_subtype_thermal,custom_ppo_oracle_loss_macro_subtype_event_staticnorm,validation_selected_static_oracle_loss_subtype_particle,validation_selected_static_oracle_loss_subtype_flux,validation_selected_static_oracle_loss_subtype_thermal,validation_selected_static_oracle_loss_macro_subtype_event_staticnorm,feasible_static_projected_oracle_loss_subtype_particle,feasible_static_projected_oracle_loss_subtype_flux,feasible_static_projected_oracle_loss_subtype_thermal,feasible_static_projected_oracle_loss_macro_subtype_event_staticnorm,round_robin_oracle_loss_subtype_particle,round_robin_oracle_loss_subtype_flux,round_robin_oracle_loss_subtype_thermal,round_robin_oracle_loss_macro_subtype_event_staticnorm,aoi_oracle_loss_subtype_particle,aoi_oracle_loss_subtype_flux,aoi_oracle_loss_subtype_thermal,aoi_oracle_loss_macro_subtype_event_staticnorm,random_oracle_loss_subtype_particle,random_oracle_loss_subtype_flux,random_oracle_loss_subtype_thermal,random_oracle_loss_macro_subtype_event_staticnorm,margin_loss_vs_custom_ppo,margin_oracle_loss_macro_subtype_event_staticnorm_vs_custom_ppo
context_alert_bandit_t0p5,2304,-0.4691455240646998,25.7706061057013,0.4691047254535887,18.63929960871993,1.2679600694444444,2.1,0.6584201388888888,0,0.0193226226660877,0,1,5,0.6469929842190039,0.0,0.7291666666666666,0.297786963008195,0.958494585670837,146,0.871056982438986,735,0.2355308025993359,636,0.6883607902363864,3,1001,reports/v32_flexible_subset_v76_positive_inclusion_fresh_confirm_seed1001_b1p75_20260822,384,6,supplied_synthetic_warning_scores,0.8419263351896845,1.2150595813029017,0.6452316797164908,0.900739198736359,0.4885884471425217,0.7249046268013944,0.5398019611537974,0.7947500602436066,0.5534067004288469,0.8326456445705972,0.5282885019486356,0.7839699340890712,0.5028321365098236,0.7744522378716078,0.5215803133760346,0.794545072693574,1.052914373270453,0.8703863077625936,0.251413199371137,0.9425761267614566,1.006836177143332,0.8556709162434754,0.5217430873440122,1.1690967321004075,1.2576509444680932,0.9364207422652212,0.3038652469784771,1.0811233703296013,1.1295831193254418,0.931562463726316,0.290764219215456,1.0294034841075022,1.1678593681283194,0.8861623905447065,0.2693349549417975,0.99993232006851,1.1896906621652106,0.8903252052105203,0.3036193507049912,1.0395671391784644,-0.0194837216889329,-0.0418369280250976
forecast_greedy_one_step,2304,-0.5030683999655734,18.3980327091382,0.5030038745026104,14.002721310520474,0.7522135416666667,1.84,0.6584201388888888,0,0.0320596323635837,0,3,3,0.473499617548714,0.0,0.6666666666666666,0.2617030843034042,1.1469475824947226,146,0.8767444537002214,735,0.2535724738530768,636,0.7590881700160069,3,1001,reports/v32_flexible_subset_v76_positive_inclusion_fresh_confirm_seed1001_b1p75_20260822,384,6,final_future_loss,1.0074604376701912,1.222993179894809,0.6946564586391298,0.9750366920680434,0.4885884471425217,0.7249046268013944,0.5398019611537974,0.7947500602436066,0.5534067004288469,0.8326456445705972,0.5282885019486356,0.7839699340890712,0.5028321365098236,0.7744522378716078,0.5215803133760346,0.794545072693574,1.052914373270453,0.8703863077625936,0.251413199371137,0.9425761267614566,1.006836177143332,0.8556709162434754,0.5217430873440122,1.1690967321004075,1.2576509444680932,0.9364207422652212,0.3038652469784771,1.0811233703296013,1.1295831193254418,0.931562463726316,0.290764219215456,1.0294034841075022,1.1678593681283194,0.8861623905447065,0.2693349549417975,0.99993232006851,1.1896906621652106,0.8903252052105203,0.3036193507049912,1.0395671391784644,0.0144154273600887,0.0324605653065868
event_label_reference_l8,2304,-0.4739082546323641,27.51887602588922,0.473867456021253,19.87221929372904,1.275737847222222,2.1,0.6584201388888888,0,0.0193226226660877,0,1,5,0.6230921648460224,0.0,0.765625,0.3115138859372953,0.9675851168289576,146,0.8740567748643914,735,0.2402592571627981,636,0.6939670496187157,3,1001,reports/v32_flexible_subset_v76_positive_inclusion_fresh_confirm_seed1001_b1p75_20260822,384,6,exact_final_event_subtype,0.8499113125670241,1.2192440681985843,0.6581851815378036,0.909113520767804,0.4885884471425217,0.7249046268013944,0.5398019611537974,0.7947500602436066,0.5534067004288469,0.8326456445705972,0.5282885019486356,0.7839699340890712,0.5028321365098236,0.7744522378716078,0.5215803133760346,0.794545072693574,1.052914373270453,0.8703863077625936,0.251413199371137,0.9425761267614566,1.006836177143332,0.8556709162434754,0.5217430873440122,1.1690967321004075,1.2576509444680932,0.9364207422652212,0.3038652469784771,1.0811233703296013,1.1295831193254418,0.931562463726316,0.290764219215456,1.0294034841075022,1.1678593681283194,0.8861623905447065,0.2693349549417975,0.99993232006851,1.1896906621652106,0.8903252052105203,0.3036193507049912,1.0395671391784644,-0.0147209911212686,-0.0334626059936525
context_alert_bandit_t0p5,2304,-0.4264588860951847,16.23416793066966,0.4264234404933328,10.813762384119112,1.3039409722222224,2.1,0.5707465277777778,0,0.0167173252279635,0,1,5,0.7717519000129607,0.0,0.6940104166666666,0.2271032346184623,,0,0.7311672132595309,672,0.3185094566566762,643,0.5248383349581036,2,1002,reports/v32_flexible_subset_v76_positive_inclusion_fresh_confirm_seed1002_b1p75_20260822,384,6,supplied_synthetic_warning_scores,,0.8096947976460773,1.0023644236910725,0.9060296106685748,0.4558507869094481,0.5662366535464951,0.3636293416299547,0.4753269339526399,0.4402347004797775,0.5505537427870094,0.5183233964182565,0.597645329165279,0.4807820348327772,0.5648757580297857,0.4989486037067965,0.5959911348137161,,0.8029531687387221,0.3295201383542681,0.9631030750454784,,0.5907499597053087,0.359903908199971,0.8934157105614973,,0.7394524657477936,0.3616550198262253,0.9785077269338762,,0.7648958758384522,0.4303947824921059,1.1007593998632208,,0.7716498113614285,0.3581017046981429,0.990744176232052,,0.777396466616275,0.4145858030111571,1.082805173376042,-0.0294273464161152,-0.0570734643769037
forecast_greedy_one_step,2304,-0.3762531496872004,14.57919409799575,0.3761938325575708,11.298530098537093,0.9747569444444444,1.84,0.5707465277777778,0,0.0290201186857721,0,3,3,0.4530216533085138,0.0,0.7682291666666666,0.3274334644671698,,0,0.6164632542169697,672,0.3642005352984134,643,0.4903318947576915,2,1002,reports/v32_flexible_subset_v76_positive_inclusion_fresh_confirm_seed1002_b1p75_20260822,384,6,final_future_loss,,0.6826715979977581,1.1461564234366737,0.9144140107172158,0.4558507869094481,0.5662366535464951,0.3636293416299547,0.4753269339526399,0.4402347004797775,0.5505537427870094,0.5183233964182565,0.597645329165279,0.4807820348327772,0.5648757580297857,0.4989486037067965,0.5959911348137161,,0.8029531687387221,0.3295201383542681,0.9631030750454784,,0.5907499597053087,0.359903908199971,0.8934157105614973,,0.7394524657477936,0.3616550198262253,0.9785077269338762,,0.7648958758384522,0.4303947824921059,1.1007593998632208,,0.7716498113614285,0.3581017046981429,0.990744176232052,,0.777396466616275,0.4145858030111571,1.082805173376042,-0.0796569543518772,-0.0486890643282627
event_label_reference_l8,2304,-0.4158600507732653,17.841749600092832,0.4158246051714134,11.73571251367514,1.2799479166666667,2.1,0.5707465277777778,0,0.0167173252279635,0,1,5,0.7628565989073229,0.0,0.6749131944444444,0.2308590807882567,,0,0.7096033187228299,672,0.2997547122613638,643,0.5046790154920968,2,1002,reports/v32_flexible_subset_v76_positive_inclusion_fresh_confirm_seed1002_b1p75_20260822,384,6,exact_final_event_subtype,,0.7858149341802111,0.9433423502034888,0.8645786421918499,0.4558507869094481,0.5662366535464951,0.3636293416299547,0.4753269339526399,0.4402347004797775,0.5505537427870094,0.5183233964182565,0.597645329165279,0.4807820348327772,0.5648757580297857,0.4989486037067965,0.5959911348137161,,0.8029531687387221,0.3295201383542681,0.9631030750454784,,0.5907499597053087,0.359903908199971,0.8934157105614973,,0.7394524657477936,0.3616550198262253,0.9785077269338762,,0.7648958758384522,0.4303947824921059,1.1007593998632208,,0.7716498113614285,0.3581017046981429,0.990744176232052,,0.777396466616275,0.4145858030111571,1.082805173376042,-0.0400261817380346,-0.0985244328536286
context_alert_bandit_t0p5,2304,-0.4400464822434414,22.344797603041048,0.4400176917341822,15.620357603851255,1.4877256944444446,2.12,0.5989583333333334,0,0.0132435953104646,1,0,3,0.55626923172139,0.0407986111111111,1.0,0.3427954408312113,0.8960745740075444,86,0.813044419671808,735,0.3001722056611919,559,0.6697637331135148,3,1003,reports/v32_flexible_subset_v76_positive_inclusion_fresh_confirm_seed1003_b1p75_20260822,384,6,supplied_synthetic_warning_scores,0.7283776236509347,1.655700613496283,0.6077416146164933,0.9972732839212372,0.4288968633821544,0.6692437767616329,0.4505854162335809,0.6551722949884256,0.519341697481448,0.866469778890936,0.4717621064773993,0.7270528879092845,0.4722739985849734,0.7331550391335799,0.4685271813650615,0.7370498155861717,0.9296266693015433,0.8257316183020063,0.2523730426813494,0.9827176752116524,0.7402566051067307,0.8930515366295974,0.3322087432289486,1.0309844476611334,1.229707054967104,0.8894204424352062,0.4802818392704979,1.2610685841705205,0.980401840667392,0.8965478834753133,0.3042089395851483,1.0795289107263024,1.0054411628218585,0.9006695725834694,0.2933543819954122,1.0817856426124723,1.0255736001702245,0.8933480043547088,0.2922278422335819,1.081510340251136,0.0111208283520278,0.0145556087095847
forecast_greedy_one_step,2304,-0.4937880131833566,12.024078868326542,0.4937211729055788,7.513165939567624,0.70421875,1.84,0.5989583333333334,0,0.0330004342162396,0,3,3,0.4841559531088987,0.0,0.5390625,0.2372408718966702,1.181061809925839,86,0.860704489523659,735,0.459573238061771,559,0.8337798458370896,3,1003,reports/v32_flexible_subset_v76_positive_inclusion_fresh_confirm_seed1003_b1p75_20260822,384,6,final_future_loss,0.9600305816638556,1.7527565737657582,0.9304718307245348,1.2144196620513827,0.4288968633821544,0.6692437767616329,0.4505854162335809,0.6551722949884256,0.519341697481448,0.866469778890936,0.4717621064773993,0.7270528879092845,0.4722739985849734,0.7331550391335799,0.4685271813650615,0.7370498155861717,0.9296266693015433,0.8257316183020063,0.2523730426813494,0.9827176752116524,0.7402566051067307,0.8930515366295974,0.3322087432289486,1.0309844476611334,1.229707054967104,0.8894204424352062,0.4802818392704979,1.2610685841705205,0.980401840667392,0.8965478834753133,0.3042089395851483,1.0795289107263024,1.0054411628218585,0.9006695725834694,0.2933543819954122,1.0817856426124723,1.0255736001702245,0.8933480043547088,0.2922278422335819,1.081510340251136,0.0648243095234244,0.2317019868397303
event_label_reference_l8,2304,-0.4448208619264531,22.991729590394748,0.4447920714171939,16.035737488985255,1.508385416666667,2.12,0.5989583333333334,0,0.0132435953104646,1,0,3,0.5469173399171051,0.04296875,1.0,0.34875860450319,0.9597243385952572,86,0.8179644373353241,735,0.3030462492797157,559,0.6935783417367657,3,1003,reports/v32_flexible_subset_v76_positive_inclusion_fresh_confirm_seed1003_b1p75_20260822,384,6,exact_final_event_subtype,0.7801155767422691,1.6657198400807107,0.6135605274813686,1.0197986481014494,0.4288968633821544,0.6692437767616329,0.4505854162335809,0.6551722949884256,0.519341697481448,0.866469778890936,0.4717621064773993,0.7270528879092845,0.4722739985849734,0.7331550391335799,0.4685271813650615,0.7370498155861717,0.9296266693015433,0.8257316183020063,0.2523730426813494,0.9827176752116524,0.7402566051067307,0.8930515366295974,0.3322087432289486,1.0309844476611334,1.229707054967104,0.8894204424352062,0.4802818392704979,1.2610685841705205,0.980401840667392,0.8965478834753133,0.3042089395851483,1.0795289107263024,1.0054411628218585,0.9006695725834694,0.2933543819954122,1.0817856426124723,1.0255736001702245,0.8933480043547088,0.2922278422335819,1.081510340251136,0.0158952080350395,0.0370809728897969
context_alert_bandit_t0p5,2304,-0.3882055385057012,21.793661444121245,0.3881577954501456,15.360159661249304,1.3206770833333332,2.12,0.6731770833333334,0,0.0230858300767115,0,0,5,0.757424066081657,0.0338541666666666,0.7074652777777778,0.2463457194461121,0.6493191699618879,69,0.6837688206246606,810,0.2902030780789487,672,0.541097022888499,3,1004,reports/v32_flexible_subset_v76_positive_inclusion_fresh_confirm_seed1004_b1p75_20260822,384,6,supplied_synthetic_warning_scores,0.6221559094781998,0.969724191290556,1.1371839729859228,0.9096880245848928,0.3915596201202586,0.579183358372446,0.4517835538928112,0.6687704531443766,0.4224689224275708,0.7526227377415396,0.4420904083187149,0.801027766272132,0.4092100606471326,0.630873150004481,0.4183492365086244,0.6311598137750081,0.779845863148786,0.6764202273370307,0.2812839846315217,0.9362527980581488,0.8519149086829545,0.7027974491318066,0.4515990016183683,1.1942046202574783,1.2599531619445137,0.7032220716645688,0.2946929796155365,1.1197786236847107,1.3550484906072202,0.7170753525225101,0.3309594556866657,1.204070970029956,0.8862829268842504,0.690175817290574,0.3161607058386185,1.022306097695984,0.8576645801464716,0.6947897045332708,0.3410251566452816,1.0478246421861688,-0.0034018246701129,-0.026564773473256
forecast_greedy_one_step,2304,-0.4008699697630298,13.253753180645289,0.4007922787908076,9.80268568166458,0.5891319444444444,1.84,0.6731770833333334,0,0.0386452453321754,0,3,3,0.4777774263910525,0.0,0.4205729166666667,0.1926048492270186,0.90962845162637,69,0.6859038616772051,810,0.2921082530547643,672,0.6292135221194465,3,1004,reports/v32_flexible_subset_v76_positive_inclusion_fresh_confirm_seed1004_b1p75_20260822,384,6,final_future_loss,0.8715755560429064,0.9727521166588982,1.1446495535117156,0.9963257420711734,0.3915596201202586,0.579183358372446,0.4517835538928112,0.6687704531443766,0.4224689224275708,0.7526227377415396,0.4420904083187149,0.801027766272132,0.4092100606471326,0.630873150004481,0.4183492365086244,0.6311598137750081,0.779845863148786,0.6764202273370307,0.2812839846315217,0.9362527980581488,0.8519149086829545,0.7027974491318066,0.4515990016183683,1.1942046202574783,1.2599531619445137,0.7032220716645688,0.2946929796155365,1.1197786236847107,1.3550484906072202,0.7170753525225101,0.3309594556866657,1.204070970029956,0.8862829268842504,0.690175817290574,0.3161607058386185,1.022306097695984,0.8576645801464716,0.6947897045332708,0.3410251566452816,1.0478246421861688,0.009232658670549,0.0600729440130245
event_label_reference_l8,2304,-0.3842038361021938,22.31577435365504,0.3841560930466383,15.886370951608784,1.3350434027777778,2.12,0.6731770833333334,0,0.0230858300767115,0,0,5,0.7233186684936571,0.0360243055555555,0.7434895833333334,0.268653348588135,0.6921983292137367,69,0.6771638407797357,810,0.2820016948472975,672,0.5504546216135899,3,1004,reports/v32_flexible_subset_v76_positive_inclusion_fresh_confirm_seed1004_b1p75_20260822,384,6,exact_final_event_subtype,0.6632412856015636,0.960356977481715,1.1050461968152232,0.9095481532995006,0.3915596201202586,0.579183358372446,0.4517835538928112,0.6687704531443766,0.4224689224275708,0.7526227377415396,0.4420904083187149,0.801027766272132,0.4092100606471326,0.630873150004481,0.4183492365086244,0.6311598137750081,0.779845863148786,0.6764202273370307,0.2812839846315217,0.9362527980581488,0.8519149086829545,0.7027974491318066,0.4515990016183683,1.1942046202574783,1.2599531619445137,0.7032220716645688,0.2946929796155365,1.1197786236847107,1.3550484906072202,0.7170753525225101,0.3309594556866657,1.204070970029956,0.8862829268842504,0.690175817290574,0.3161607058386185,1.022306097695984,0.8576645801464716,0.6947897045332708,0.3410251566452816,1.0478246421861688,-0.0074035270736202,-0.0267046447586483
context_alert_bandit_t0p5,2304,-0.3687577130332269,20.87692159077417,0.3687287778480418,15.11071534873661,1.611527777777778,2.0,0.5520833333333334,0,0.0133159646837458,0,0,6,0.7148341434863646,0.0525173611111111,0.9474826388888888,0.2895117559464243,1.0127434982816772,101,0.6906146898976079,675,0.2178632541364359,496,0.6404071474385736,3,1005,reports/v32_flexible_subset_v76_positive_inclusion_fresh_confirm_seed1005_b1p75_20260822,384,6,supplied_synthetic_warning_scores,1.0634548137409443,1.0226238506977403,0.8672331356430025,0.9844372666938958,0.3489104900953761,0.5988827871183233,0.337842945746767,0.5484533965886245,0.4268189949386093,0.8382924731096963,0.4454200539249642,0.8317629097994811,0.4056290110068706,0.7231295269540882,0.404852203028794,0.7616367007001471,0.9087188479923966,0.6828145049843524,0.2051150083782211,0.9272607214769608,0.7150403292167304,0.6718177818258604,0.2585020787232825,0.9248788034152778,1.4878667956679177,0.7348242402628616,0.2921863833983098,1.2711806708796525,1.3248670119607802,0.7413308153936157,0.4290909020440472,1.3989937325715691,1.1156622670812182,0.7157287133899,0.3379976003911466,1.1922606488634824,1.253998995786256,0.7208235499042052,0.31008755640998,1.2061634049069812,0.0198182877526656,0.0571765452169349
