pass,changed_label,calm,particle,flux,thermal,selection_primary,selection_secondary
0,initial,34,19,6,14,0.9679501330572832,1.9056681995465306
1,calm,34,19,6,14,0.9679501330572832,1.9056681995465306
1,calm,21,19,6,14,0.953504861868287,1.8777332891660747
1,calm,17,19,6,14,0.953496938866636,1.897279335845065
1,calm,18,19,6,14,1.0524569371376118,2.098384555957394
1,particle,17,19,6,14,0.953496938866636,1.897279335845065
1,particle,17,22,6,14,0.9681389936598978,1.927656703997871
1,particle,17,21,6,14,0.9758358840376213,1.9414175411851704
1,particle,17,15,6,14,1.0025995071690692,1.9824339634734067
1,flux,17,19,6,14,0.953496938866636,1.897279335845065
1,flux,17,19,29,14,0.9592752323954418,1.9126058148263574
1,flux,17,19,14,14,0.945368971534939,1.8616338165627622
1,flux,17,19,32,14,0.9509155371661718,1.8535303018034348
1,thermal,17,19,14,14,0.945368971534939,1.8616338165627622
1,thermal,17,19,14,12,0.9457205461541619,1.8467064703649976
1,thermal,17,19,14,33,0.938341836913382,1.8640415349555362
1,thermal,17,19,14,4,0.9439699208616941,1.8655515440490265
2,calm,34,19,14,33,0.9282797540752235,1.8549181849231036
2,calm,21,19,14,33,0.9523647770395082,1.8679126005384492
2,calm,17,19,14,33,0.938341836913382,1.8640415349555362
2,calm,18,19,14,33,1.046713464010521,2.0711067659744677
2,particle,34,19,14,33,0.9282797540752235,1.8549181849231036
2,particle,34,22,14,33,0.9484603234321202,1.8845427233547194
2,particle,34,21,14,33,0.9701132567259771,1.915032532627706
2,particle,34,15,14,33,0.9836449823626664,1.9348998650354634
2,flux,34,19,6,33,0.9535419847990024,1.895286839623138
2,flux,34,19,29,33,0.9541150936628036,1.8948822035815849
2,flux,34,19,14,33,0.9282797540752235,1.8549181849231036
2,flux,34,19,32,33,0.9451816003305288,1.8901318148522752
2,thermal,34,19,14,14,0.9206621678268204,1.8243515005646695
2,thermal,34,19,14,12,0.9491243214287913,1.8825916808838898
2,thermal,34,19,14,33,0.9282797540752235,1.8549181849231036
2,thermal,34,19,14,4,0.9876605264931787,1.9288826126393732
