pass,changed_label,calm,particle,flux,thermal,selection_primary,selection_secondary
0,initial,3,22,29,14,0.9638372238188567,1.9122425350711816
1,calm,3,22,29,14,0.9638372238188567,1.9122425350711816
1,calm,7,22,29,14,0.9677279341267175,1.9197140969112336
1,calm,26,22,29,14,0.9558864937747356,1.9030119103251044
1,calm,18,22,29,14,0.9907915705705589,1.939095395423778
1,particle,26,22,29,14,0.9558864937747356,1.9030119103251044
1,particle,26,34,29,14,0.9548998597315586,1.88901973717264
1,particle,26,15,29,14,0.9528608777833063,1.8811794471965422
1,particle,26,19,29,14,0.9969683264793326,1.9914343060413184
1,flux,26,15,29,14,0.9528608777833063,1.8811794471965422
1,flux,26,15,26,14,0.9274410251409679,1.8436407596686248
1,flux,26,15,24,14,0.9066252726057402,1.7669743169590384
1,flux,26,15,31,14,0.9255234120123067,1.8465801350352682
1,thermal,26,15,24,14,0.9066252726057402,1.7669743169590384
1,thermal,26,15,24,33,0.9270503531595458,1.8425164017065367
1,thermal,26,15,24,12,0.9125978049007204,1.820147254213146
1,thermal,26,15,24,13,0.9111376417175397,1.812294622550469
2,calm,3,15,24,14,0.9410609071397291,1.86851442285114
2,calm,7,15,24,14,0.9486452313258168,1.8724495298573007
2,calm,26,15,24,14,0.9066252726057402,1.7669743169590384
2,calm,18,15,24,14,1.0126619775158672,1.9618576136696722
2,particle,26,22,24,14,0.9263221419932989,1.7930514315561081
2,particle,26,34,24,14,0.9144533276050277,1.778832656362445
2,particle,26,15,24,14,0.9066252726057402,1.7669743169590384
2,particle,26,19,24,14,0.9753736956641802,1.8798658174170462
2,flux,26,15,29,14,0.9528608777833063,1.8811794471965422
2,flux,26,15,26,14,0.9274410251409679,1.8436407596686248
2,flux,26,15,24,14,0.9066252726057402,1.7669743169590384
2,flux,26,15,31,14,0.9255234120123067,1.8465801350352682
2,thermal,26,15,24,14,0.9066252726057402,1.7669743169590384
2,thermal,26,15,24,33,0.9270503531595458,1.8425164017065367
2,thermal,26,15,24,12,0.9125978049007204,1.820147254213146
2,thermal,26,15,24,13,0.9111376417175397,1.812294622550469
