action_idx,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,event_rate,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,power_mean,warmup_abort_count,sensor_ids,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm,prior_logit
31,0.4997911145183025,0.6928449835797811,0.2827056434989635,0.529296875,1.0939295081340747,138,0.8332912467180862,436,0.20504483664759032,239,0.7107551971665838,3,1.72,0,met_station_core|surface_temp_ir|fc4_flux,1,0,0,1,0,1,1.0,0.9316925452350088,0.7039759597760736,0.8785561683370274,0.0
33,0.5144493114639772,0.655790504961656,0.3555137785267533,0.529296875,1.003754273974809,138,0.8036882701851086,436,0.18506905826190526,239,0.6641705341406076,3,1.72,0,shielded_thermo_hygro|surface_temp_ir|fc4_flux,0,0,1,1,0,1,0.9175676005732049,0.8985938265563124,0.6353935560869435,0.817184994405487,0.0
21,0.5156385225175958,0.6867303865770426,0.32324891604410994,0.529296875,0.7573569143811861,138,0.8953839159579179,436,0.2653103043718817,239,0.6393503782369953,3,1.72,0,radiometer_basic|shielded_thermo_hygro|laser_disdrometer,0,1,1,0,1,0,0.692326981537427,1.0011175839262723,0.9108840740022243,0.8681095464886411,0.0
18,0.5161302644361664,0.726789106100541,0.2792483304484257,0.529296875,0.8000829660374186,138,0.9270928980047823,436,0.3190610477677449,239,0.6820789706033152,3,1.72,0,met_station_core|radiometer_basic|laser_disdrometer,1,1,0,0,1,0,0.7313843900253931,1.0365710010915306,1.0954253274638484,0.954460239526924,0.0
19,0.5187049578040993,0.6858364265380017,0.3307687419248979,0.529296875,0.7082897437655408,138,0.8992030245482648,436,0.28363393904898454,239,0.6303755691209301,3,1.2200000000000002,0,shielded_thermo_hygro|laser_disdrometer,0,0,1,0,1,0,0.6474729299273377,1.0053876815867042,0.9737942087771357,0.875551606763726,0.0
26,0.5191963334170092,0.7185057853274093,0.2950765762895469,0.529296875,1.107369528732438,138,0.8366688794601674,436,0.27841245632416034,239,0.740816954838922,3,1.6400000000000003,0,met_station_core|radiometer_basic|fc4_flux,1,1,0,0,0,1,1.0122860024329063,0.935469034258184,0.9558674061677148,0.9678741476196017,0.0
16,0.5195130795570245,0.732678307946611,0.27981276049653525,0.529296875,0.8090840050059817,138,0.9323014029464044,436,0.32439523006333465,239,0.6885935460052403,3,1.2200000000000002,0,met_station_core|laser_disdrometer,1,0,0,0,1,0,0.7396125609464941,1.0423945654755815,1.1137390590483809,0.9652487284901522,0.0
13,0.5196163545818612,0.7377537751678025,0.2743248982383338,0.529296875,1.1165390652806864,138,0.9142214570604607,436,0.19711662311434247,239,0.74262571515183,3,1.6200000000000008,0,met_station_core|shielded_thermo_hygro|surface_temp_ir,1,0,1,1,0,0,1.0206682030043936,1.02217960358017,0.6767561973932231,0.9065346679925956,0.0
9,0.5208800646214513,0.7391658328281118,0.2754217941484016,0.529296875,1.1269880438736384,138,0.9130610371811674,436,0.1980035975887187,239,0.7460175595478415,3,1.0999999999999999,0,met_station_core|surface_temp_ir,1,0,0,1,0,0,1.0302199872055302,1.0208821525927292,0.6798014274858445,0.9103011890947013,0.0
11,0.5213924884301377,0.738748942189111,0.27697921470116776,0.529296875,1.1524150786192522,138,0.9068676308139202,436,0.1932021845833527,239,0.7508282980055082,3,1.5999999999999999,0,met_station_core|radiometer_basic|surface_temp_ir,1,1,0,1,0,0,1.0534637470241905,1.013957382214183,0.6633168410705174,0.9102459901029635,0.0
