[v31-ablation] tasks=150 skipped=38 pending=112 workers=3
[run] worker=1 A2_staged_v31_aligned_D4_plus_oracle_prior_full_budget1p70_seed50 -> reports/v31_ablation_aligned/logs/A2_staged_v31_aligned_D4_plus_oracle_prior_full_budget1p70_seed50.log[run] worker=0 A2_staged_v31_aligned_D4_plus_oracle_prior_full_budget1p70_seed49 -> reports/v31_ablation_aligned/logs/A2_staged_v31_aligned_D4_plus_oracle_prior_full_budget1p70_seed49.log

[run] worker=2 A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed41 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed41.log
[run] worker=2 A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed42 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed42.log
[run] worker=1 A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed43 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed43.log
[run] worker=0 A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed44 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed44.log
[run] worker=2 A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed45 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed45.log
[run] worker=0 A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed46 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed46.log
[run] worker=1 A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed47 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed47.log
[run] worker=2 A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed48 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed48.log
[run] worker=1 A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed49 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed49.log
[run] worker=0 A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed50 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_action_emb_budget1p70_seed50.log
[run] worker=2 A1_remove_one_v31_aligned_no_event_critic_budget1p70_seed41 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_event_critic_budget1p70_seed41.log
[run] worker=1 A1_remove_one_v31_aligned_no_event_critic_budget1p70_seed42 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_event_critic_budget1p70_seed42.log
[run] worker=0 A1_remove_one_v31_aligned_no_event_critic_budget1p70_seed43 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_event_critic_budget1p70_seed43.log
[run] worker=2 A1_remove_one_v31_aligned_no_event_critic_budget1p70_seed44 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_event_critic_budget1p70_seed44.log
[run] worker=1 A1_remove_one_v31_aligned_no_event_critic_budget1p70_seed45 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_event_critic_budget1p70_seed45.log
[run] worker=0 A1_remove_one_v31_aligned_no_event_critic_budget1p70_seed46 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_event_critic_budget1p70_seed46.log
[run] worker=2 A1_remove_one_v31_aligned_no_event_critic_budget1p70_seed47 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_event_critic_budget1p70_seed47.log
[run] worker=1 A1_remove_one_v31_aligned_no_event_critic_budget1p70_seed48 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_event_critic_budget1p70_seed48.log
[run] worker=0 A1_remove_one_v31_aligned_no_event_critic_budget1p70_seed49 -> reports/v31_ablation_aligned/logs/A1_remove_one_v31_aligned_no_event_critic_budget1p70_seed49.log
