reports/v31_static_break_v16_micro_particle_dwell12_ppo_seed42_h075train_h092eval_20260609/raw/budget1p15_seed42/v2_custom_ppo_metrics.csv
                                     policy  steps  reward_mean  instant_mae  oracle_loss_mean  dtw_mean  power_mean  peak_power_max  event_rate  warmup_abort_count  switches_per_step  always_on_sensor_count  always_off_sensor_count  mid_duty_sensor_count  duty_entropy  duty_min  duty_max  duty_std
               duty_constrained_round_robin   4096    -0.958812    17.647197          0.412165  7.378130    0.999180            1.51    0.429688                   0           0.063675                       0                        0                      8      0.946476  0.246094  0.562500  0.129709
                                        aoi   4096    -0.958814    17.797753          0.415030  6.777877    1.009004            1.50    0.429688                   0           0.063462                       0                        0                      8      0.953270  0.317383  0.642578  0.119817
                                 custom_ppo   4096    -0.960507    19.434947          0.415615 11.782870    0.971143            1.53    0.429688                   0           0.039591                       0                        0                      8      0.909183  0.128906  0.742188  0.168853
                  feasible_static_projected   4096    -1.109350     1.995325          0.416799  1.855731    0.920000            1.19    0.429688                   0           0.000000                       4                        4                      0     -0.000000  0.000000  1.000000  0.500000
                                     random   4096    -0.965010    26.764745          0.417304 10.605415    0.989482            1.51    0.429688                   0           0.043895                       0                        0                      8      0.946287  0.210938  0.680664  0.130871
                                round_robin   4096    -1.070394     2.053243          0.417503  1.883472    0.915039            1.19    0.429688                   0           0.020940                       3                        3                      2      0.249989  0.000000  1.000000  0.433017
                    full_open_unconstrained   4096    -1.108414     1.897345          0.418266  1.850171    1.074355            3.49    0.429688                 260           0.048260                       5                        0                      3      0.266909  0.154297  1.000000  0.389104
 duty_constrained_feasible_static_projected   4096    -0.974255    12.877414          0.419006  7.904683    1.012109            1.53    0.429688                   0           0.055556                       0                        0                      8      0.953223  0.281250  0.648438  0.119093
                       duty_constrained_aoi   4096    -0.980184    17.554807          0.422389  8.135536    1.011221            1.53    0.429688                   0           0.065018                       0                        0                      8      0.965428  0.304688  0.577148  0.101513
                    duty_constrained_random   4096    -1.001950    30.643752          0.430272 11.985376    1.004648            1.53    0.429688                   0           0.043315                       0                        0                      8      0.960288  0.283203  0.634766  0.110506
duty_constrained_validation_selected_static   4096    -1.023865    10.083937          0.434276  6.348413    0.969883            1.53    0.429688                   0           0.041300                       0                        0                      8      0.818636  0.128906  0.742188  0.239060
                 validation_selected_static   4096    -1.205662     6.226428          0.450758  6.096584    0.820000            1.06    0.429688                   0           0.000000                       3                        5                      0     -0.000000  0.000000  1.000000  0.484123
