reports/v31_static_break_v24_event_selective_laser_event_flux_particle_v7_zero_ppo_source_seed45_h082_20260620/raw/budget1p10_seed45/truth_v31_split.csv
reports/v31_static_break_v24_event_selective_laser_event_flux_particle_v7_zero_ppo_source_seed45_h082_20260620/raw/budget1p10_seed45/dataset_validation/synthetic_validation.csv
reports/v31_static_break_v24_event_selective_laser_event_flux_particle_v7_zero_ppo_source_seed45_h082_20260620/raw/budget1p10_seed45/v2_custom_ppo_metrics.csv
                                     policy  steps  reward_mean  instant_mae  oracle_loss_mean   dtw_mean  power_mean  peak_power_max  event_rate  warmup_abort_count  switches_per_step  always_on_sensor_count  always_off_sensor_count  mid_duty_sensor_count  duty_entropy  duty_min  duty_max  duty_std
                    full_open_unconstrained   4096    -0.764397    14.022954          0.415783   6.716132    1.128555            3.75    0.536621                 176           0.044811                       4                        0                      4      0.404971  0.199219  1.000000  0.369628
                                        aoi   4096    -0.558729    28.651093          0.416698  10.847060    1.059805            1.53    0.536621                   0           0.058120                       0                        0                      8      0.929644  0.323242  0.676758  0.145816
                  feasible_static_projected   4096    -0.705912     2.735909          0.418157   2.611395    1.100000            1.39    0.536621                   0           0.000000                       4                        4                      0     -0.000000  0.000000  1.000000  0.500000
 duty_constrained_feasible_static_projected   4096    -0.563893    22.670584          0.418446  11.540069    1.055234            1.53    0.536621                   0           0.046886                       0                        0                      8      0.944663  0.281250  0.601562  0.111820
                       duty_constrained_aoi   4096    -0.561293    28.256949          0.419882  11.874197    1.029443            1.53    0.536621                   0           0.056563                       0                        0                      8      0.933838  0.320312  0.648438  0.127820
                                 custom_ppo   4096    -0.568070    12.981314          0.420301   6.989880    1.057634            1.50    0.536621                   0           0.031013                       0                        0                      8      0.805364  0.130859  0.742188  0.246141
               duty_constrained_round_robin   4096    -0.566042    37.174094          0.422477  19.291310    1.040000            1.49    0.536621                   0           0.058883                       0                        0                      8      0.956928  0.308594  0.550781  0.090308
                                     random   4096    -0.572852    52.433089          0.425580  27.199592    1.025605            1.47    0.536621                   0           0.041392                       0                        0                      8      0.903472  0.236328  0.757812  0.171369
duty_constrained_validation_selected_static   4096    -0.573615    69.930561          0.426837  47.227550    0.998223            1.53    0.536621                   0           0.031654                       0                        0                      8      0.730953  0.130859  0.742188  0.272342
                                round_robin   4096    -0.618322    13.446127          0.431318   6.127326    1.023125            1.46    0.536621                   0           0.051648                       1                        1                      5      0.647154  0.000000  1.000000  0.294616
                 validation_selected_static   4096    -0.699153   110.499138          0.432638 110.479366    0.970000            1.29    0.536621                   0           0.000000                       3                        5                      0     -0.000000  0.000000  1.000000  0.484123
                    duty_constrained_random   4096    -0.584914    62.872873          0.437582  40.460115    1.028086            1.50    0.536621                   0           0.041422                       0                        0                      8      0.928359  0.236328  0.636719  0.140273
reports/v31_static_break_v24_event_selective_laser_event_flux_particle_v7_zero_ppo_source_seed45_h082_20260620/raw/budget1p10_seed45/split_protocol_manifest.json
