reports/v31_static_break_v25_v24_low_budget_particle_heavy_flux_v7_b1p03_zero_ppo_source_seed45_h082_20260620/raw/budget1p03_seed45/truth_v31_split.csv
reports/v31_static_break_v25_v24_low_budget_particle_heavy_flux_v7_b1p03_zero_ppo_source_seed45_h082_20260620/raw/budget1p03_seed45/dataset_validation/synthetic_validation.csv
reports/v31_static_break_v25_v24_low_budget_particle_heavy_flux_v7_b1p03_zero_ppo_source_seed45_h082_20260620/raw/budget1p03_seed45/v2_custom_ppo_metrics.csv
                                     policy  steps  reward_mean  instant_mae  oracle_loss_mean   dtw_mean  power_mean  peak_power_max  event_rate  warmup_abort_count  switches_per_step  always_on_sensor_count  always_off_sensor_count  mid_duty_sensor_count  duty_entropy  duty_min  duty_max  duty_std
                 validation_selected_static   4096    -0.665516   113.932005          0.398729 113.890770    0.980000            1.38    0.536621                   0           0.000000                       3                        5                      0     -0.000000  0.000000  1.000000  0.484123
 duty_constrained_feasible_static_projected   4096    -0.586331    28.046287          0.430578  17.124999    0.977031            1.40    0.536621                   0           0.052625                       0                        0                      8      0.925583  0.257812  0.531250  0.096477
                  feasible_static_projected   4096    -0.707939     2.764408          0.435090   2.629934    0.950000            1.19    0.536621                   0           0.000000                       3                        5                      0     -0.000000  0.000000  1.000000  0.484123
                                        aoi   4096    -0.587578    32.462546          0.435679  11.383708    0.979531            1.40    0.536621                   0           0.061538                       0                        0                      8      0.938546  0.328125  0.507812  0.072555
                       duty_constrained_aoi   4096    -0.587578    32.462546          0.435679  11.383708    0.979531            1.40    0.536621                   0           0.061538                       0                        0                      8      0.938546  0.328125  0.507812  0.072555
duty_constrained_validation_selected_static   4096    -0.602652    71.997683          0.441855  48.986448    0.975781            1.38    0.536621                   0           0.027167                       0                        0                      8      0.708209  0.130859  0.728516  0.277198
                                 custom_ppo   4096    -0.603219    70.287347          0.442796  45.519123    0.977485            1.38    0.536621                   0           0.027961                       0                        0                      8      0.743578  0.134521  0.722900  0.257969
                    full_open_unconstrained   4096    -0.818739    14.022954          0.455760   6.716132    1.128555            3.75    0.536621                 176           0.044811                       4                        0                      4      0.404971  0.199219  1.000000  0.369628
               duty_constrained_round_robin   4096    -0.621114    29.902317          0.456929  11.956532    0.969453            1.38    0.536621                   0           0.052137                       0                        0                      8      0.866699  0.132812  0.726562  0.188633
                    duty_constrained_random   4096    -0.626056    49.433544          0.462718  30.717099    0.971562            1.36    0.536621                   0           0.037027                       0                        0                      8      0.928246  0.210938  0.562500  0.116010
                                     random   4096    -0.625631    78.576683          0.463457  45.757347    0.967773            1.36    0.536621                   0           0.042430                       0                        0                      8      0.907046  0.142578  0.623047  0.145022
                                round_robin   4096    -0.743037    13.298251          0.496298   6.797283    0.940156            1.19    0.536621                   0           0.030769                       2                        3                      3      0.374934  0.000000  1.000000  0.390184
reports/v31_static_break_v25_v24_low_budget_particle_heavy_flux_v7_b1p03_zero_ppo_source_seed45_h082_20260620/raw/budget1p03_seed45/split_protocol_manifest.json
