step,loss,policy_loss,value_loss,entropy_mean,awbc_loss,prior_kl_loss,soc_aux_loss,subtype_aux_loss,subtype_aux_accuracy,advantage_mean,advantage_std,event_rate,awbc_label_rate,greedy_unique_actions,bc_pretrain,bc_steps,bc_accuracy,forecast_weighted_mae_overall,reward_mean
0,3.107098950789525,,,3.0259807935127845,2.965085025017078,,,0.47337973146484447,0.8479512262802857,,,0.32001787424087524,1.0,22,1,3323,0.11107654743469679,,
1024,115.5185564160347,-0.03592193697113544,231.1055964231491,2.9334678277373314,0.0,0.0,0.0,0.2011640592245385,0.941650390625,-13.880072593688965,11.452776908874512,0.2012232542037964,0.0,22,0,0,,,
2048,54.02205476164818,-0.03630025995516917,108.10055923461914,2.95108200982213,0.0,0.0,0.0,0.22365735133644193,0.926513671875,-13.241398811340332,7.326301097869873,0.3105142116546631,0.0,22,0,0,,,
3072,429.47352266311646,-0.03823994683261844,859.0397152900696,2.9815014973282814,0.0,0.0,0.0,0.17178324644919485,0.940673828125,-19.098464965820312,25.256752014160156,0.3519444763660431,0.0,22,0,0,,,
4096,112.28759384155273,-0.039966709271539,224.67297673225403,2.942530781030655,0.0,0.0,0.0,0.1664059233153239,0.948486328125,-12.079066276550293,10.555466651916504,0.29873159527778625,0.0,22,0,0,,,
5120,77.4343313574791,-0.046469486554997275,154.96361804008484,2.9173742420971394,0.0,0.0,0.0,0.19112950086127967,0.9310302734375,-11.07046127319336,8.024670600891113,0.3576958179473877,0.0,22,0,0,,,
6144,45.090458393096924,-0.05251261719240574,90.30961686372757,2.876285169273615,0.0,0.0,0.0,0.1522933697560802,0.9520263671875,-7.280669212341309,7.395571231842041,0.2694028615951538,0.0,22,0,0,,,
7168,58.24273884296417,-0.050818166479075444,116.61767995357513,2.887006040662527,0.0,0.0,0.0,0.14152288297191262,0.9539794921875,-9.40964126586914,7.059120178222656,0.2387455552816391,0.0,22,0,0,,,
8192,46.87080976366997,-0.04626353970343189,93.85466873645782,2.8409589901566505,0.0,0.0,0.0,0.1551946384133771,0.9505615234375,-7.204549312591553,7.793576240539551,0.2504786550998688,0.0,22,0,0,,,
9216,99.5662237405777,-0.05463201694510644,199.23197436332703,2.8741100430488586,0.0,0.0,0.0,0.20783544227015227,0.9271240234375,-11.30656623840332,9.897716522216797,0.349388986825943,0.0,22,0,0,,,
10240,55.34520184993744,-0.038149607982632006,110.77369379997253,2.826185744255781,0.0,0.0,0.0,0.17675984359811991,0.938720703125,-7.5845537185668945,8.381144523620605,0.2872310280799866,0.0,22,0,0,,,
11264,103.01651495695114,-0.03182759878200159,206.09315633773804,2.8604995012283325,0.0,0.0,0.0,0.19658175052609295,0.931396484375,-9.718100547790527,11.565094947814941,0.33910122513771057,0.0,22,0,0,,,
12288,92.30292904376984,-0.06572981324279681,184.77339267730713,2.8271218687295914,0.0,0.0,0.0,0.12834833632223308,0.9580078125,-12.011672019958496,8.265920639038086,0.32860052585601807,0.0,22,0,0,,,
13312,104.90417468547821,-0.05162755330275104,209.92351627349854,2.763556320220232,0.0,0.0,0.0,0.1643831703113392,0.943603515625,-11.83555793762207,9.861222267150879,0.3052540421485901,0.0,22,0,0,,,
14336,91.97140163183212,-0.04277963710774202,184.03995490074158,2.8018492124974728,0.0,0.0,0.0,0.16746978485025465,0.94140625,-7.506136894226074,12.008974075317383,0.34245866537094116,0.0,22,0,0,,,
15360,55.79668456315994,-0.040783438103972,111.68081152439117,2.791762676090002,0.0,0.0,0.0,0.17632478848099709,0.9339599609375,-5.709610939025879,9.558466911315918,0.3275037407875061,0.0,22,0,0,,,
16384,205.4978039264679,-0.03607124012341956,411.0535464286804,2.678867533802986,0.0,0.0,0.0,0.20225736463908106,0.9332275390625,-6.28256368637085,19.640300750732422,0.25561919808387756,0.0,22,0,0,,,
17408,53.663444101810455,-0.05063833158419584,107.42458665370941,2.648139078170061,0.0,0.0,0.0,0.18250669579720125,0.933349609375,-3.715224504470825,10.124695777893066,0.3431856036186218,0.0,22,0,0,,,
