action_idx,sensor_ids,sensor_count,has_laser,has_fc4,has_snow_particle_counter,has_radiometer,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,oracle_loss_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_particle,steps_subtype_flux,steps_subtype_thermal,power_mean,peak_max,soc_min,energy_deficit_total,energy_deficit_steps,energy_guard_dropped,warmup_abort_count,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,switches_per_step,duty__met_station_core,duty__radiometer_basic,duty__shielded_thermo_hygro,duty__surface_temp_ir,duty__laser_disdrometer,duty__fc4_flux,subtype_particle_steps,subtype_flux_steps,subtype_thermal_steps
10,shielded_thermo_hygro|surface_temp_ir,2,False,False,False,False,0.21150650371257346,0.24023779965517822,0.13277529015556558,0.2037636050724505,0.37856625828272356,0.15933019797319406,648.0,499.0,541.0,1.0999999999999999,1.3399999999999999,0.0,0.0,0,0,0,2,4,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,
4,shielded_thermo_hygro,1,False,False,False,False,0.2207895754254423,0.2552957667205571,0.12623364862973813,0.1992436025958554,0.37583795878177656,0.2131105745400607,648.0,499.0,541.0,0.52,0.62,0.0,0.0,0,0,0,1,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,
14,shielded_thermo_hygro|laser_disdrometer,2,True,False,False,False,0.22403774757064335,0.2655289138654044,0.1103411749966878,0.20842385753690276,0.38047163345979784,0.22790317817172812,648.0,499.0,541.0,1.22,1.5,0.0,0.0,0,0,0,2,4,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
-3022,dynamic:subtype_auto_c0_p1_f1_t0_lead8,3,True,False,False,False,0.22455636992041642,0.26232522141665077,0.12105990672943653,0.2203703698209955,0.3536093026862106,0.17112025901472333,,,,0.7723784722222222,1.5,0.0,0.0,0,0,0,1,3,2,0.23368564594630722,0.00853587962962963,0.0,0.0,1.0,0.2868923611111111,0.1228298611111111,0.0,772.0,588.0,661.0
18,shielded_thermo_hygro|fc4_flux,2,False,True,False,False,0.22506479187480485,0.2630272726815247,0.12103773407976735,0.21442021861856367,0.3734088226451066,0.21986234256939174,648.0,499.0,541.0,1.1400000000000003,1.4,0.0,0.0,0,0,0,2,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,
6,radiometer_basic|shielded_thermo_hygro,2,False,False,False,True,0.22801018395936504,0.2562832773775657,0.15053456433286722,0.19172517690566127,0.37698697437623696,0.22031726586234768,648.0,499.0,541.0,1.0199999999999998,1.22,0.0,0.0,0,0,0,2,4,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,
-3030,dynamic:subtype_auto_c1_p1_f1_t0_lead8,3,False,True,False,False,0.2281644247874889,0.2651350547182175,0.12685529601627163,0.22006580270247755,0.3691439766303769,0.1683830378433399,,,,0.7625520833333334,1.4,0.0,0.0,0,0,0,1,3,2,0.23368564594630722,0.00853587962962963,0.0,0.0,1.0,0.2868923611111111,0.0,0.1228298611111111,772.0,588.0,661.0
-3028,dynamic:subtype_auto_c1_p1_f0_t0_lead8,3,False,True,False,False,0.2313184420992103,0.2672854552036637,0.13275948411168217,0.22162851490505,0.36022644737089166,0.1798110863253046,,,,0.92078125,1.4,0.0,0.0,0,0,0,1,3,2,0.3035529444378872,0.00708912037037037,0.0,0.0,1.0,0.2868923611111111,0.0,0.3780381944444444,772.0,588.0,661.0
8,met_station_core|surface_temp_ir,2,False,False,False,False,0.23242498137309062,0.2601513480800712,0.15644753494227379,0.2102195968431777,0.3952983577394175,0.19368083202478076,648.0,499.0,541.0,1.0999999999999999,1.3399999999999999,0.0,0.0,0,0,0,2,4,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,
-3018,dynamic:subtype_auto_c0_p0_f1_t0_lead8,4,True,False,False,True,0.23300533013389213,0.27038705886023834,0.1305696838837746,0.22097659082069915,0.37014893954619765,0.17973849033646613,,,,0.9399131944444442,1.5,0.0,0.0,0,0,0,1,2,3,0.3870226742335682,0.010850694444444442,0.0,0.3350694444444444,1.0,0.2868923611111111,0.1228298611111111,0.0,772.0,588.0,661.0
