action_idx,sensor_ids,sensor_count,has_laser,has_fc4,has_snow_particle_counter,has_radiometer,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,oracle_loss_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_particle,steps_subtype_flux,steps_subtype_thermal,power_mean,peak_max,soc_min,energy_deficit_total,energy_deficit_steps,energy_guard_dropped,warmup_abort_count,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,switches_per_step,duty__met_station_core,duty__radiometer_basic,duty__shielded_thermo_hygro,duty__surface_temp_ir,duty__laser_disdrometer,duty__fc4_flux,subtype_particle_steps,subtype_flux_steps,subtype_thermal_steps
8,met_station_core|surface_temp_ir,2,False,False,False,False,0.3041426264535403,0.4821284054426485,0.1564101887699675,0.2395258412796951,0.8257311779952727,0.2792236796495589,491.0,422.0,132.0,1.0999999999999999,1.3399999999999999,0.0,0.0,0,0,0,2,4,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,
-3018,dynamic:subtype_auto_c0_p0_f1_t0_lead12,3,False,False,False,True,0.3072367258347286,0.48838146678639943,0.15688227444910832,0.24276374072391302,0.7435306186578095,0.3164918365386816,,,,1.0957204861111112,1.3399999999999999,0.0,0.0,0,0,0,1,3,2,0.2496712409053853,0.0024594907407407404,0.7860243055555556,0.21397569444444445,0.0,1.0,0.0,0.0,564.0,493.0,156.0
-3016,dynamic:subtype_auto_c0_p0_f0_t0_lead12,2,False,False,False,False,0.30849615431442445,0.49226842000724025,0.15596079478385053,0.23877181441701473,0.7581386985691759,0.3069106474614296,,,,0.9887326388888886,1.3399999999999999,0.0,0.0,0,0,0,1,4,1,0.12483562045269264,0.0015914351851851849,0.7860243055555556,0.0,0.0,1.0,0.0,0.0,564.0,493.0,156.0
-3022,dynamic:subtype_auto_c0_p1_f1_t0_lead12,3,False,False,False,True,0.31010112673619816,0.49130164059369186,0.1597003825097637,0.2528313061698003,0.7397678178143792,0.3166307740104504,,,,0.9537413194444445,1.3399999999999999,0.0,0.0,0,0,0,0,3,3,0.38349095102469744,0.0032552083333333335,0.7860243055555556,0.21397569444444445,0.0,0.7552083333333334,0.0,0.0,564.0,493.0,156.0
-3020,dynamic:subtype_auto_c0_p1_f0_t0_lead12,2,False,False,False,False,0.31056523532283287,0.49300460897065235,0.15913620795033773,0.2506458731632389,0.7490381706075301,0.3133250608180578,,,,0.8467534722222222,1.3399999999999999,0.0,0.0,0,0,0,0,4,2,0.25865533057200474,0.002387152777777778,0.7860243055555556,0.0,0.0,0.7552083333333334,0.0,0.0,564.0,493.0,156.0
-3000,dynamic:subtype_auto_c0_p0_f0_t0_lead0,2,False,False,False,False,0.3148974916192755,0.5062947678758482,0.1560331916287127,0.24904768892026286,0.8814385274774671,0.26864355616271496,,,,1.0049826388888887,1.3399999999999999,0.0,0.0,0,0,0,1,4,1,0.11433394692444611,0.0015914351851851849,0.8172743055555556,0.0,0.0,1.0,0.0,0.0,492.0,421.0,132.0
-3002,dynamic:subtype_auto_c0_p0_f1_t0_lead0,3,False,False,False,True,0.3155758565618372,0.5076844267119346,0.15612116569062848,0.25200090770102374,0.8768972403009261,0.283121523927107,,,,1.0963454861111108,1.3399999999999999,0.0,0.0,0,0,0,1,3,2,0.22866789384889222,0.0024594907407407404,0.8172743055555556,0.18272569444444445,0.0,1.0,0.0,0.0,492.0,421.0,132.0
-3006,dynamic:subtype_auto_c0_p1_f1_t0_lead0,3,False,False,False,True,0.3165771898865286,0.5085769005725829,0.15721285496442633,0.2575318610250223,0.8764367881020854,0.27104013396257703,,,,0.9724913194444444,1.3399999999999999,0.0,0.0,0,0,0,0,3,3,0.35336759203555335,0.0032552083333333335,0.8172743055555556,0.18272569444444445,0.0,0.7864583333333334,0.0,0.0,492.0,421.0,132.0
-3004,dynamic:subtype_auto_c0_p1_f0_t0_lead0,2,False,False,False,False,0.3181894289478401,0.511618299318843,0.15763885743259154,0.25846801746666914,0.8823002981212247,0.27292752034510626,,,,0.8811284722222221,1.3399999999999999,0.0,0.0,0,0,0,0,4,2,0.23903364511110725,0.002387152777777778,0.8172743055555556,0.0,0.0,0.7864583333333334,0.0,0.0,492.0,421.0,132.0
7,surface_temp_ir,1,False,False,False,False,0.32058480552223045,0.5124297228120446,0.16134895280749198,0.2688951990330049,0.8067098084695955,0.4858825931494886,491.0,422.0,132.0,0.58,0.72,0.0,0.0,0,0,0,1,5,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,
19,surface_temp_ir|fc4_flux,2,False,True,False,False,0.3241309802655855,0.5202634823379334,0.16133633001490752,0.27315102564645155,0.8235138604479237,0.471484510736032,491.0,422.0,132.0,1.2,1.5,0.0,0.0,0,0,0,2,4,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,
-3019,dynamic:subtype_auto_c0_p0_f1_t1_lead12,4,False,False,False,True,0.3242280462016222,0.525746966880617,0.1569625401575003,0.24199764650473568,0.743981346367097,0.5668384622877989,,,,1.0957204861111112,1.3399999999999999,0.0,0.0,0,0,0,1,2,3,0.3273436358284904,0.0030381944444444445,0.7183159722222222,0.21397569444444445,0.06770833333333333,1.0,0.0,0.0,564.0,493.0,156.0
-3017,dynamic:subtype_auto_c0_p0_f0_t1_lead12,3,False,False,False,False,0.32615975685702225,0.5312975296634806,0.1558905173155218,0.23846749949486964,0.7585133875570964,0.5638530455911771,,,,0.9887326388888886,1.3399999999999999,0.0,0.0,0,0,0,1,3,2,0.2025080153757977,0.002170138888888889,0.7183159722222222,0.0,0.06770833333333333,1.0,0.0,0.0,564.0,493.0,156.0
-3023,dynamic:subtype_auto_c0_p1_f1_t1_lead12,4,False,False,False,True,0.3281484343056541,0.5312926903331394,0.1595338611930869,0.25162195178501784,0.7368318173603644,0.5894297424894877,,,,0.9537413194444445,1.3399999999999999,0.0,0.0,0,0,0,0,2,4,0.4611633459478025,0.0038339120370370367,0.7183159722222222,0.21397569444444445,0.06770833333333333,0.7552083333333334,0.0,0.0,564.0,493.0,156.0
1,met_station_core,1,False,False,False,False,0.32854701978794765,0.5046648282611199,0.18236504214341628,0.24983408799785703,0.8352100354094076,0.3803799926783099,491.0,422.0,132.0,0.52,0.62,0.0,0.0,0,0,0,1,5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
5,met_station_core|shielded_thermo_hygro,2,False,False,False,False,0.32856002247717697,0.5052849155258049,0.1818741501691419,0.25117840881169207,0.8342681429503371,0.38330180745458964,491.0,422.0,132.0,1.04,1.24,0.0,0.0,0,0,0,2,4,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,
-3021,dynamic:subtype_auto_c0_p1_f0_t1_lead12,3,False,False,False,False,0.3303289817332471,0.5368335251103747,0.15892529005008713,0.2505196670321285,0.7537865727898073,0.5868425324845773,,,,0.8467534722222222,1.3399999999999999,0.0,0.0,0,0,0,0,3,3,0.3363277254951098,0.002965856481481481,0.7183159722222222,0.0,0.06770833333333333,0.7552083333333334,0.0,0.0,564.0,493.0,156.0
3,met_station_core|radiometer_basic,2,False,False,False,True,0.33194245539198164,0.515635086988148,0.17947319405918277,0.2653909112324904,0.8328818112911912,0.4242375986932805,491.0,422.0,132.0,1.0199999999999998,1.22,0.0,0.0,0,0,0,2,4,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
-3001,dynamic:subtype_auto_c0_p0_f0_t1_lead0,3,False,False,False,False,0.3331029932952434,0.5458793106796354,0.15649357973949315,0.2480328365236642,0.8776255396334123,0.5979649386735577,,,,1.0049826388888887,1.3399999999999999,0.0,0.0,0,0,0,1,3,2,0.18527797170231725,0.002170138888888889,0.7599826388888888,0.0,0.057291666666666664,1.0,0.0,0.0,492.0,421.0,132.0
-3003,dynamic:subtype_auto_c0_p0_f1_t1_lead0,4,False,False,False,True,0.33417061859250274,0.5477747025743626,0.15687413903647135,0.25193338061311865,0.8764044034721732,0.602326417172497,,,,1.0963454861111108,1.3399999999999999,0.0,0.0,0,0,0,1,2,3,0.29961191862676334,0.0030381944444444445,0.7599826388888888,0.18272569444444445,0.057291666666666664,1.0,0.0,0.0,492.0,421.0,132.0
-3007,dynamic:subtype_auto_c0_p1_f1_t1_lead0,4,False,False,False,True,0.3352262433941683,0.549009028340926,0.1577814377791073,0.25669409696588186,0.8752730985895472,0.5979618515367761,,,,0.9724913194444444,1.3399999999999999,0.0,0.0,0,0,0,0,2,4,0.4243116168134245,0.0038339120370370367,0.7599826388888888,0.18272569444444445,0.057291666666666664,0.7864583333333334,0.0,0.0,492.0,421.0,132.0
-3005,dynamic:subtype_auto_c0_p1_f0_t1_lead0,3,False,False,False,False,0.33643618817182463,0.5514418470303407,0.15797636807083232,0.2565274217991325,0.8759089402695166,0.6158149603641394,,,,0.8811284722222221,1.3399999999999999,0.0,0.0,0,0,0,0,3,3,0.3099776698889784,0.002965856481481481,0.7599826388888888,0.0,0.057291666666666664,0.7864583333333334,0.0,0.0,492.0,421.0,132.0
-3026,dynamic:subtype_auto_c1_p0_f1_t0_lead12,4,False,True,False,True,0.33936629676868,0.5037040329008011,0.2029620598679123,0.26106682193881653,0.7811688939770627,0.308248801347919,,,,1.1430729166666664,1.5,0.0,0.0,0,0,0,1,2,3,0.4405047431814596,0.004918981481481481,0.3125,0.21397569444444445,0.0,1.0,0.0,0.4735243055555556,564.0,493.0,156.0
-3024,dynamic:subtype_auto_c1_p0_f0_t0_lead12,3,False,True,False,False,0.340299656027734,0.5093537845501774,0.19998070105874793,0.26032262255193284,0.7774432833187479,0.332820661413746,,,,1.0360850694444441,1.5,0.0,0.0,0,0,0,1,3,2,0.3156691227287669,0.004050925925925926,0.3125,0.0,0.0,1.0,0.0,0.4735243055555556,564.0,493.0,156.0
9,radiometer_basic|surface_temp_ir,2,False,False,False,True,0.34107019030650715,0.5235651224673364,0.18959504804434144,0.28601936647732973,0.8121147340613801,0.4897668822809602,491.0,422.0,132.0,1.08,1.3199999999999998,0.0,0.0,0,0,0,2,4,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,
-3012,dynamic:subtype_auto_c1_p1_f0_t0_lead0,3,False,True,False,False,0.34462474573067287,0.5114801913927617,0.2061307499269534,0.26688776051671037,0.8753285990262542,0.2626869821300109,,,,0.9357725694444442,1.5,0.0,0.0,0,0,0,0,3,3,0.43077066371451045,0.004846643518518519,0.2708333333333333,0.0,0.0,0.7864583333333334,0.0,0.5464409722222222,492.0,421.0,132.0
-3010,dynamic:subtype_auto_c1_p0_f1_t0_lead0,4,False,True,False,True,0.3457915244475266,0.5100106952435662,0.2094856996009329,0.2651611998737828,0.8745674875668845,0.2599163176209638,,,,1.1509895833333332,1.5,0.0,0.0,0,0,0,1,2,3,0.4204049124522954,0.004918981481481481,0.2708333333333333,0.18272569444444445,0.0,1.0,0.0,0.5464409722222222,492.0,421.0,132.0
-3028,dynamic:subtype_auto_c1_p1_f0_t0_lead12,3,False,True,False,False,0.34684767410120304,0.5228012718153342,0.20080199529956125,0.27295251666231357,0.8025265756473097,0.30904207641306597,,,,0.8941059027777778,1.5,0.0,0.0,0,0,0,0,3,3,0.44948883284807906,0.0048466435185185175,0.3125,0.0,0.0,0.7552083333333334,0.0,0.4735243055555556,564.0,493.0,156.0
