action_idx,sensor_ids,sensor_count,has_laser,has_fc4,has_snow_particle_counter,has_radiometer,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,oracle_loss_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_particle,steps_subtype_flux,steps_subtype_thermal,power_mean,peak_max,soc_min,energy_deficit_total,energy_deficit_steps,energy_guard_dropped,warmup_abort_count,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,switches_per_step,duty__met_station_core,duty__radiometer_basic,duty__shielded_thermo_hygro,duty__surface_temp_ir,duty__laser_disdrometer,duty__fc4_flux,subtype_particle_steps,subtype_flux_steps,subtype_thermal_steps
-3028,dynamic:subtype_auto_c1_p1_f0_t0_lead8,5,True,True,False,False,0.3463112526636299,0.4335353370899637,0.14520780406518166,0.12417474898596316,0.6281497283891523,0.22968679873608283,,,,1.1226649305555556,1.4,0.0,0.0,0,0,0,1,1,4,0.5183411857582438,0.010995370370370369,1.0,0.0,0.18098958333333334,0.2795138888888889,0.14930555555555555,0.3901909722222222,344.0,899.0,644.0
-3020,dynamic:subtype_auto_c0_p1_f0_t0_lead8,4,True,True,False,False,0.34680118817535305,0.435134813971887,0.14313958608779195,0.1219140765268009,0.6308977991359119,0.22876267250257065,,,,1.0285503472222224,1.4,0.0,0.0,0,0,0,1,2,3,0.40463500144439674,0.005859374999999999,1.0,0.0,0.0,0.2795138888888889,0.14930555555555555,0.3901909722222222,344.0,899.0,644.0
-3021,dynamic:subtype_auto_c0_p1_f0_t1_lead8,5,True,True,False,False,0.34747210673635387,0.43321960211361166,0.14977307507028026,0.12614706413668775,0.6251927443113887,0.2322877505042168,,,,1.0285503472222224,1.4,0.0,0.0,0,0,0,0,1,5,0.6895642028721104,0.009331597222222222,0.7204861111111112,0.0,0.2795138888888889,0.2795138888888889,0.14930555555555555,0.3901909722222222,344.0,899.0,644.0
-3016,dynamic:subtype_auto_c0_p0_f0_t0_lead8,5,True,True,False,False,0.3481037732676163,0.4364096578430818,0.14450613121198788,0.12742599803781093,0.6315229611100424,0.22974371715153782,,,,1.0285503472222224,1.5,0.0,0.0,0,0,0,0,1,5,0.6073349099022277,0.007884837962962962,0.8506944444444444,0.0,0.14930555555555555,0.2795138888888889,0.14930555555555555,0.3901909722222222,344.0,899.0,644.0
-3029,dynamic:subtype_auto_c1_p1_f0_t1_lead8,5,True,True,False,False,0.34920705420356374,0.4349883726734828,0.1514300401703357,0.12576230501127972,0.6290314839417332,0.23302096454137416,,,,1.1226649305555556,1.4,0.0,0.0,0,0,0,0,1,5,0.7130152969473366,0.010995370370370369,0.7204861111111112,0.0,0.4605034722222222,0.2795138888888889,0.14930555555555555,0.3901909722222222,344.0,899.0,644.0
-3024,dynamic:subtype_auto_c1_p0_f0_t0_lead8,5,True,True,False,False,0.3492314211244876,0.4375266518881956,0.14565834244833445,0.13224797358,0.6315012110171382,0.23095720813765844,,,,1.1226649305555556,1.4,0.0,0.0,0,0,0,0,1,5,0.6585228941034514,0.010995370370370369,0.8506944444444444,0.0,0.3302951388888889,0.2795138888888889,0.14930555555555555,0.3901909722222222,344.0,899.0,644.0
-3017,dynamic:subtype_auto_c0_p0_f0_t1_lead8,5,True,True,False,False,0.34939729045274565,0.4356501812501286,0.1505330214263548,0.13580393505304358,0.6266351127178638,0.23272805648815373,,,,1.0285503472222224,1.5,0.0,0.0,0,0,0,0,1,5,0.7330786316935066,0.011357060185185184,0.5711805555555556,0.0,0.4288194444444444,0.2795138888888889,0.14930555555555555,0.3901909722222222,344.0,899.0,644.0
-3006,dynamic:subtype_auto_c0_p1_f1_t0_lead0,5,True,True,False,False,0.34941670141334824,0.4369875194647424,0.14751382536085128,0.11053204517682186,0.6962101252896931,0.24384618279299813,,,,0.9529253472222222,1.4,0.0,0.0,0,0,0,0,1,5,0.682297269198175,0.010416666666666666,0.6653645833333334,0.0,0.3346354166666667,0.2378472222222222,0.125,0.3346354166666667,288.0,771.0,548.0
-3012,dynamic:subtype_auto_c1_p1_f0_t0_lead0,5,True,True,False,False,0.3494823111185623,0.4380506600514657,0.1452795324454263,0.110151403143795,0.6971995752068036,0.2457717775781877,,,,1.110234375,1.4,0.0,0.0,0,0,0,1,1,4,0.5231575248742124,0.010995370370370369,1.0,0.0,0.3025173611111111,0.2378472222222222,0.125,0.3346354166666667,288.0,771.0,548.0
-3025,dynamic:subtype_auto_c1_p0_f0_t1_lead8,5,True,True,False,False,0.34950090504005654,0.43519635514519045,0.1519218687144465,0.13095843276485455,0.6294969687936569,0.2310720682606934,,,,1.1226649305555556,1.4,0.0,0.0,0,0,0,0,1,5,0.729677263070576,0.010995370370370369,0.5711805555555556,0.0,0.6098090277777778,0.2795138888888889,0.14930555555555555,0.3901909722222222,344.0,899.0,644.0
