action_idx,sensor_ids,sensor_count,has_laser,has_fc4,has_snow_particle_counter,has_radiometer,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,oracle_loss_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_particle,steps_subtype_flux,steps_subtype_thermal,power_mean,peak_max,soc_min,energy_deficit_total,energy_deficit_steps,energy_guard_dropped,warmup_abort_count,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,switches_per_step,duty__met_station_core,duty__radiometer_basic,duty__shielded_thermo_hygro,duty__surface_temp_ir,duty__laser_disdrometer,duty__fc4_flux,receding_action_coverage
-4000,dynamic:receding_oracle_l6,6,True,True,False,True,0.20815043090557567,0.21188179632207288,0.20353064515181718,0.15024668394642718,0.36052274439716714,0.18112784525901704,476,320,478,1.1363368055555556,2.06,,,,,0,0,0,6,0.774069289784821,0.05295138888888889,0.14756944444444445,0.3420138888888889,0.2643229166666667,0.2873263888888889,0.09722222222222222,0.3763020833333333,22.0
6,radiometer_basic|shielded_thermo_hygro,2,False,False,False,True,0.2627265147567184,0.2625792393112903,0.26290885578439116,0.1665675064094928,0.3798549042199738,0.28480027952702974,476,320,478,1.38,1.6400000000000001,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
4,shielded_thermo_hygro,1,False,False,False,False,0.26614451887352125,0.2516430015098216,0.28409877846667325,0.15630259231797286,0.36700043559540063,0.27554064318070104,476,320,478,0.7000000000000001,0.84,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
19,shielded_thermo_hygro|fc4_flux,2,False,True,False,False,0.26926999137653146,0.2506913341921016,0.292272138366778,0.1568791322457064,0.3773501731804572,0.2661275158570027,476,320,478,1.5199999999999998,1.8199999999999998,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,
10,shielded_thermo_hygro|surface_temp_ir,2,False,False,False,False,0.28107970859814974,0.24682197960757385,0.32349403972933893,0.1735008647195807,0.3870082874316722,0.234608866040552,476,320,478,1.46,1.76,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,
5,met_station_core|shielded_thermo_hygro,2,False,False,False,False,0.2855523067712137,0.30925070721615144,0.25621143002986213,0.18373848493954464,0.4057853559730574,0.37425794935625467,476,320,478,1.42,1.68,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
3,met_station_core|radiometer_basic,2,False,False,False,True,0.28929877759588707,0.32296186163173507,0.24762067355150383,0.20838018712986792,0.39853908118093384,0.3905272084954643,476,320,478,1.4000000000000001,1.6400000000000001,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
8,met_station_core|surface_temp_ir,2,False,False,False,False,0.2912494942474717,0.30804010297594303,0.2704611215360311,0.21973393432514257,0.4088297572103329,0.3312994213813768,476,320,478,1.4800000000000002,1.76,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,
17,met_station_core|fc4_flux,2,False,True,False,False,0.2917797546437446,0.3161817018112264,0.2615678200554338,0.1937663738983644,0.40632199884857984,0.38011062932376083,476,320,478,1.54,1.8199999999999998,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,
1,met_station_core,1,False,False,False,False,0.2929863029273241,0.3208944069476012,0.25843341223555244,0.1919123286052662,0.4066899429773912,0.3951587804035911,476,320,478,0.7199999999999999,0.84,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
14,shielded_thermo_hygro|laser_disdrometer,2,True,False,False,False,0.3082040845021392,0.30402351001765887,0.3133800338638767,0.1987540694892782,0.40783376719336956,0.3458216395229101,476,320,478,1.58,1.92,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
7,surface_temp_ir,1,False,False,False,False,0.3129261862575568,0.29399899271093133,0.3363598544581407,0.21147398268725692,0.40612348057329656,0.30927135831204916,476,320,478,0.7599999999999999,0.92,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
20,surface_temp_ir|fc4_flux,2,False,True,False,False,0.3129381953010314,0.30366015798899126,0.3244252891159382,0.20154025368079417,0.39633516032481564,0.35160696989696893,476,320,478,1.58,1.9,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,
15,surface_temp_ir|laser_disdrometer,2,True,False,False,False,0.32942884815092505,0.32926191509155966,0.329635527176806,0.2089014987954322,0.4227679861709476,0.39339749572728466,476,320,478,1.6400000000000003,2.0,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
12,met_station_core|laser_disdrometer,2,True,False,False,False,0.3330110487824567,0.3572549870006705,0.30299474432181106,0.22453806393568507,0.42439265253487973,0.4476330710660713,476,320,478,1.5999999999999999,1.92,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
9,radiometer_basic|surface_temp_ir,2,False,False,False,True,0.3665189618148521,0.3852952103710951,0.34327217788807507,0.21759927374537752,0.40677442712476475,0.5416503698101353,476,320,478,1.4399999999999997,1.7200000000000002,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,
16,fc4_flux,1,False,True,False,False,0.5726199623713326,0.6784401019008792,0.4416045515252272,0.23562908290001025,0.4565195454051718,1.2662866429180282,476,320,478,0.8200000000000001,0.98,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
0,,0,False,False,False,False,0.5753795452613288,0.6722703104256835,0.4554195502959373,0.24567843000052356,0.4678403110709041,1.2326219534836553,476,320,478,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,laser_disdrometer|fc4_flux,2,True,True,False,False,0.5782422049054362,0.6822041157206149,0.4495274581818817,0.2482510401609064,0.46166829094290734,1.2596406717960056,476,320,478,1.6999999999999997,2.06,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,
11,laser_disdrometer,1,True,False,False,False,0.5894254124195639,0.6916311035046772,0.46288503298085215,0.25960047319218393,0.456561951036565,1.279173599563882,476,320,478,0.88,1.08,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
2,radiometer_basic,1,False,False,False,True,0.61801123022192,0.716980208974665,0.49547820890899763,0.24088989728826934,0.44927294123917816,1.3683107894023092,476,320,478,0.6799999999999999,0.8,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
13,radiometer_basic|laser_disdrometer,2,True,False,False,True,0.6774460220781425,0.7883848086250961,0.5400932387342954,0.2916574972063428,0.47515078126452864,1.4948438319950423,476,320,478,1.5600000000000003,1.8800000000000001,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
18,radiometer_basic|fc4_flux,2,False,True,False,True,0.7267861623338032,0.8802595783837923,0.5367714567481023,0.31930868831627507,0.4791374515509233,1.7038437429831117,476,320,478,1.5,1.78,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,
