update,timesteps,oracle_loss_mean,oracle_loss_macro_subtype_event,oracle_loss_macro_subtype_event_staticnorm,selection_score_name,selection_score,validation_scene_count,ordinary_static_ratio_mean,macro_static_ratio_mean,behavior_failure_count,behavior_valid_scene_count
5,5120,0.50608602539675,,0.8779834093847819,oracle_loss_mean,0.50608602539675,1,1.0641095307984174,1.037384502391397,0,1
10,10240,0.5177155555817686,,0.8770792871020916,oracle_loss_mean,0.5177155555817686,1,1.0885620809333172,1.0363162334078329,0,1
15,15360,0.506897546632293,,0.9050606291502912,oracle_loss_mean,0.506897546632293,1,1.0658158562803544,1.0693776902493182,0,1
20,20480,0.4801615041603024,,0.8760262009312213,oracle_loss_mean,0.4801615041603024,1,1.0095999637589737,1.0350719555984047,0,1
25,25600,0.49085451833767973,,0.9251128136641596,oracle_loss_mean,0.49085451833767973,1,1.0320833711800528,1.093070422061137,0,1
30,30720,0.5062053785756385,,0.9693378619254744,oracle_loss_mean,0.5062053785756385,1,1.064360485870901,1.1453246892755338,0,1
35,35840,0.5175746381064528,,0.9778621101797063,oracle_loss_mean,0.5175746381064528,1,1.088265784214944,1.1553965459176465,1,0
40,40960,0.5012709591925765,,0.9456796587539668,oracle_loss_mean,0.5012709591925765,1,1.0539852483994525,1.1173712529551976,0,1
45,46080,0.4833517876904807,,0.8941782009534279,oracle_loss_mean,0.4833517876904807,1,1.0163079361985417,1.0565195174875759,0,1
49,50176,0.48933578973810654,,0.877615511767119,oracle_loss_mean,0.48933578973810654,1,1.028890053253056,1.0369498116182565,0,1
