action_idx,sensor_ids,sensor_count,has_laser,has_fc4,has_snow_particle_counter,has_radiometer,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,oracle_loss_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_particle,steps_subtype_flux,steps_subtype_thermal,power_mean,peak_max,soc_min,energy_deficit_total,energy_deficit_steps,energy_guard_dropped,warmup_abort_count,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,switches_per_step,duty__met_station_core,duty__radiometer_basic,duty__shielded_thermo_hygro,duty__surface_temp_ir,duty__laser_disdrometer,duty__fc4_flux,receding_action_coverage
-4000,dynamic:receding_oracle_l6,6,True,True,False,True,0.3465375728636799,0.3964620819285898,0.23692523187927994,0.2553340818574147,0.7076912410349541,0.21715208324321517,516,538,528,1.3447395833333333,2.06,,,,,0,0,0,6,0.8662755508714811,0.06004050925925925,0.3190104166666667,0.2230902777777778,0.3654513888888889,0.3246527777777778,0.3068576388888889,0.2326388888888889,22.0
5,met_station_core|shielded_thermo_hygro,2,False,False,False,False,0.38539354624420713,0.4424029196920232,0.2602259482304861,0.28841083715561516,0.7514743152244162,0.27879257643397787,516,538,528,1.42,1.68,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
4,shielded_thermo_hygro,1,False,False,False,False,0.3979056482914732,0.45139745427548544,0.2804610867482118,0.28738992733433266,0.7501552429562608,0.30808379193485685,516,538,528,0.7000000000000001,0.84,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
6,radiometer_basic|shielded_thermo_hygro,2,False,False,False,True,0.3990710038358682,0.4516370422450975,0.2836590221412635,0.28538606377939385,0.7502476788267881,0.31055993641811336,516,538,528,1.38,1.6400000000000001,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
1,met_station_core,1,False,False,False,False,0.39928753249276067,0.4571152873742038,0.27232312753114557,0.3024323982035005,0.7555673213530207,0.30489985505824513,516,538,528,0.7199999999999999,0.84,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
3,met_station_core|radiometer_basic,2,False,False,False,True,0.4052136225008225,0.4634422114117757,0.27736916168800835,0.2985397735466213,0.757225553806331,0.32629533481050393,516,538,528,1.4000000000000001,1.6400000000000001,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
17,met_station_core|fc4_flux,2,False,True,False,False,0.4062347894861078,0.4680756010557569,0.2704594708803457,0.31499323466893775,0.7501661637278627,0.32974385216154833,516,538,528,1.54,1.8199999999999998,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,
10,shielded_thermo_hygro|surface_temp_ir,2,False,False,False,False,0.40714395459508523,0.44327112358352916,0.32782452531809947,0.29083193961328774,0.7693953471722212,0.26025970325325476,516,538,528,1.46,1.76,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,
14,shielded_thermo_hygro|laser_disdrometer,2,True,False,False,False,0.4087609081729574,0.4652602596659112,0.28471309483960666,0.26543678488409106,0.7520900277566289,0.369408601408147,516,538,528,1.58,1.92,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
8,met_station_core|surface_temp_ir,2,False,False,False,False,0.4136538883596788,0.47150799253895476,0.2866316318883975,0.3273042869616964,0.7812460250321596,0.29724012450738385,516,538,528,1.4800000000000002,1.76,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,
