update,timesteps,oracle_loss_mean,oracle_loss_macro_subtype_event,oracle_loss_macro_subtype_event_staticnorm,selection_score_name,selection_score,validation_scene_count,ordinary_static_ratio_mean,macro_static_ratio_mean,behavior_failure_count,behavior_valid_scene_count
5,5120,0.3673964047775371,,1.2203030035236406,oracle_loss_macro_subtype_event_staticnorm,1.2203030035236406,1,1.1908038872992406,1.4214446917096153,0,1
10,10240,0.33763784253096674,,1.134903116123155,oracle_loss_macro_subtype_event_staticnorm,1.134903116123155,1,1.0943505438727863,1.3219684007658905,0,1
15,15360,0.3874480203764203,,1.202847247326404,oracle_loss_macro_subtype_event_staticnorm,1.202847247326404,1,1.25579511065168,1.401111715461345,0,1
20,20480,0.42588089931814466,,1.1020606349596453,oracle_loss_macro_subtype_event_staticnorm,1.1020606349596453,1,1.3803636177159186,1.283712516466955,0,1
25,25600,0.3897607184383863,,1.2051655519853017,oracle_loss_macro_subtype_event_staticnorm,1.2051655519853017,1,1.2632910191758968,1.4038121446511778,0,1
30,30720,0.3505915347826279,,1.080769511807582,oracle_loss_macro_subtype_event_staticnorm,1.080769511807582,1,1.1363360039577763,1.2589119924187078,0,1
35,35840,0.3466632203878059,,1.0753479431517823,oracle_loss_macro_subtype_event_staticnorm,1.0753479431517823,1,1.123603565667532,1.2525967904039024,0,1
40,40960,0.384263687383888,,1.1299510902411327,oracle_loss_macro_subtype_event_staticnorm,1.1299510902411327,1,1.2454740621692957,1.3162001359309403,0,1
45,46080,0.3423059653238549,,1.1029965479101367,oracle_loss_macro_subtype_event_staticnorm,1.1029965479101367,1,1.1094808464448196,1.2848026952926537,0,1
49,50176,0.36691421947519604,,1.1032578748095652,oracle_loss_macro_subtype_event_staticnorm,1.1032578748095652,1,1.1892410300557845,1.285107096521628,0,1
