action_idx,sensor_ids,sensor_count,has_laser,has_fc4,has_snow_particle_counter,has_radiometer,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,oracle_loss_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_particle,steps_subtype_flux,steps_subtype_thermal,power_mean,peak_max,soc_min,energy_deficit_total,energy_deficit_steps,energy_guard_dropped,warmup_abort_count,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,switches_per_step,duty__met_station_core,duty__radiometer_basic,duty__shielded_thermo_hygro,duty__surface_temp_ir,duty__laser_disdrometer,duty__fc4_flux,receding_action_coverage
-4000,dynamic:receding_oracle_l8,6,True,True,False,True,0.4541037551470153,0.6597322985896764,0.146440679855233,0.8383713060495804,1.0704627612784163,0.13911055409792314,49,741,591,1.2368489583333333,2.1,,,,,0,0,0,6,0.843138955905406,0.05092592592592592,0.18836805555555555,0.6354166666666666,0.4301215277777778,0.4761284722222222,0.09505208333333333,0.4110243055555556,35.0
29,radiometer_basic|shielded_thermo_hygro|fc4_flux,3,False,True,False,True,0.5148288543649768,0.7206550863376568,0.20686999590964514,1.149188651114094,1.0991944716426365,0.21296336684004102,49,741,591,1.6400000000000003,2.0,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,
33,shielded_thermo_hygro|surface_temp_ir|fc4_flux,3,False,True,False,False,0.5160790414164593,0.7075660871793661,0.22957458833024663,1.1701150524372956,1.11667221215492,0.1600263623580614,49,741,591,1.7200000000000002,2.12,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,
27,shielded_thermo_hygro|fc4_flux,2,False,True,False,False,0.5187686261617475,0.7276358507832568,0.20625981012458144,1.1819090928350175,1.1109782907252128,0.21254228086993981,49,741,591,1.1400000000000003,1.4,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,
14,radiometer_basic|shielded_thermo_hygro|surface_temp_ir,3,False,False,False,True,0.5271668361965567,0.7155875092848413,0.24525031449025012,1.1589536849333315,1.1505204732762335,0.14147187372300832,49,741,591,1.5999999999999999,1.94,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,
6,radiometer_basic|shielded_thermo_hygro,2,False,False,False,True,0.5283373423379898,0.7430174579435203,0.20713123220663804,1.3494587224356982,1.1499047453003695,0.1930776863357339,49,741,591,1.0199999999999998,1.22,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
12,shielded_thermo_hygro|surface_temp_ir,2,False,False,False,False,0.5397193023996402,0.730618199434706,0.2540948421554085,1.1967115523863812,1.1693152274820808,0.15084764755342012,49,741,591,1.0999999999999999,1.3399999999999999,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,
4,shielded_thermo_hygro,1,False,False,False,False,0.5399320883896306,0.7539330747337293,0.21974209690403965,1.4259361667292458,1.1616677601951175,0.19763310309089782,49,741,591,0.52,0.62,0.0,0.0,0.0,0.0,0,1,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
21,radiometer_basic|shielded_thermo_hygro|laser_disdrometer,3,True,False,False,True,0.5414688000649525,0.7712292870901832,0.19769931731105883,1.0205305534966138,1.1986742023071941,0.2191739460097251,49,741,591,1.7200000000000002,2.1,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,
19,shielded_thermo_hygro|laser_disdrometer,2,True,False,False,False,0.5504893950338656,0.7780456055147246,0.21001796851808432,0.9278417868273598,1.210988521525654,0.22627580347400025,49,741,591,1.22,1.5,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
31,met_station_core|surface_temp_ir|fc4_flux,3,False,True,False,False,0.5719856692837008,0.7565402700542152,0.29585359597483796,1.2128577864899928,1.1697011629016454,0.20428752988047405,49,741,591,1.7200000000000002,2.12,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,
26,met_station_core|radiometer_basic|fc4_flux,3,False,True,False,True,0.574561547167832,0.7921051569067206,0.24907105415655886,1.4259440412326736,1.131571582876719,0.3166273882811142,49,741,591,1.6400000000000003,2.0,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,
28,met_station_core|shielded_thermo_hygro|fc4_flux,3,False,True,False,False,0.5871960948408943,0.7977521760762817,0.272160397997915,1.3854773883916893,1.1566099323101051,0.3007381462481018,49,741,591,1.6600000000000001,2.02,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,
