action_idx,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,event_rate,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,power_mean,warmup_abort_count,sensor_ids,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm,prior_logit
22,0.2696126874725451,0.4859485054757389,0.13431695367372226,0.384765625,0.6582090126675203,218,0.393994477557407,278,0.3597424969861382,95,0.4706486624036885,3,1.2799999999999996,0,surface_temp_ir|laser_disdrometer,0,0,0,1,1,0,0.6950787869070514,0.8518169666709119,1.3376339959886612,0.9615099165222082,0.0
19,0.29020434547176893,0.5353315925562846,0.13690254332684965,0.384765625,0.7275291959490251,218,0.4848526855595678,278,0.24200589366649328,95,0.48479592505836205,3,1.2200000000000002,0,shielded_thermo_hygro|laser_disdrometer,0,0,1,0,1,0,0.7682819609386737,1.0482526213464995,0.899852848384471,0.9054624768898814,0.0
21,0.29053229864075547,0.5235004042056208,0.1448347850017762,0.384765625,0.732043147326336,218,0.45505310584315295,278,0.24524809835772765,95,0.4774481171757388,3,1.72,0,radiometer_basic|shielded_thermo_hygro|laser_disdrometer,0,1,1,0,1,0,0.7730487626492476,0.983825861460237,0.9119083693565071,0.8895943311553305,0.0
8,0.2968019569525495,0.565866632875553,0.12852976280387748,0.384765625,0.959666415399641,218,0.3444755926406641,278,0.31005986019184717,95,0.5380672894107174,3,0.58,0,surface_temp_ir,0,0,0,1,0,0,1.0134224160014098,0.7447570235869128,1.1528985684448823,0.9703593360110684,0.0
12,0.2971968880277321,0.5428131877266614,0.14358923393030645,0.384765625,0.9444513367232653,218,0.35237418594870634,278,0.1784439878636285,95,0.4917565035118667,3,1.0999999999999999,0,shielded_thermo_hygro|surface_temp_ir,0,0,1,1,0,0,0.997355060153135,0.761833800485755,0.6635100010310291,0.8075662872233064,0.0
27,0.29723790221032687,0.5578396894075544,0.13425837180444172,0.384765625,0.8604276887730721,218,0.43567423825319723,278,0.22097454792574833,95,0.5056921583173392,3,1.1400000000000003,0,shielded_thermo_hygro|fc4_flux,0,0,1,0,0,1,0.9086248024922202,0.941928705159136,0.821651792685189,0.8907351001121816,0.0
4,0.2986579057299726,0.5683254248725783,0.13000869534554935,0.384765625,0.9924707418700697,218,0.3588145052839955,278,0.2081186516112403,95,0.5198012995884351,3,0.5199999999999999,0,shielded_thermo_hygro,0,0,1,0,0,0,1.0480642866071623,0.7757577857014581,0.7738495894335283,0.8658905539140496,0.0
6,0.30059321664642386,0.5457232720179203,0.147289658207742,0.384765625,0.9243876822634575,218,0.3613228952552346,278,0.21640183313896783,95,0.5007041368858867,3,1.0199999999999998,0,radiometer_basic|shielded_thermo_hygro,0,1,1,0,0,0,0.9761675341022119,0.7811809305886027,0.8046490231931172,0.8539991626279773,0.0
15,0.3090106472397262,0.5688793202972452,0.14648960408946823,0.384765625,0.6679608363897429,218,0.49494608738225143,278,0.5578653017941274,95,0.573590741855374,3,0.7000000000000001,0,laser_disdrometer,0,0,0,0,1,0,0.705376861944802,1.070074579302081,2.0743159318512565,1.2832557910327131,0.0
17,0.31018480378649355,0.5760120568188717,0.14393728363608557,0.384765625,0.6555003971544975,218,0.46968440199605854,278,0.7047555288986156,95,0.6099801093497238,3,1.1999999999999997,0,radiometer_basic|laser_disdrometer,0,1,0,0,1,0,0.6922184474878759,1.0154587573949672,2.620499279939346,1.4427254949407295,0.0
34,0.31296748418632586,0.5770039617788368,0.14783990931100946,0.384765625,0.6900690273817526,218,0.4625341980416569,278,0.6525240672262091,95,0.6017090975498729,3,1.32,0,laser_disdrometer|fc4_flux,0,0,0,0,1,1,0.7287234498518226,1.0,2.426286532269777,1.3850033273738667,0.0
14,0.313608911477786,0.540168710153821,0.1719191326232499,0.384765625,0.9222669694572687,218,0.3624579260031954,278,0.18339163084563456,95,0.4893721754353662,3,1.5999999999999999,0,radiometer_basic|shielded_thermo_hygro|surface_temp_ir,0,1,1,1,0,0,0.9739280289354109,0.7836348696762776,0.6819068696473078,0.8131565894196654,0.0
29,0.31468088277082035,0.5882964086247681,0.1435626015224785,0.384765625,0.9515499321555873,218,0.425039882202157,278,0.23246531615916052,95,0.5363517101723015,3,1.6400000000000003,0,radiometer_basic|shielded_thermo_hygro|fc4_flux,0,1,1,0,0,1,1.0048512855266618,0.9189372029176466,0.8643780270272801,0.9293888384905294,0.0
