action_idx,sensor_ids,sensor_count,has_laser,has_fc4,has_snow_particle_counter,has_radiometer,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,oracle_loss_subtype_particle,oracle_loss_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_particle,steps_subtype_flux,steps_subtype_thermal,power_mean,peak_max,soc_min,energy_deficit_total,energy_deficit_steps,energy_guard_dropped,warmup_abort_count,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,duty_entropy,switches_per_step,duty__met_station_core,duty__radiometer_basic,duty__shielded_thermo_hygro,duty__surface_temp_ir,duty__laser_disdrometer,duty__fc4_flux,receding_action_coverage
-4000,dynamic:receding_oracle_l8,6,True,True,False,True,0.4875033133753782,0.6714868933329282,0.21222560598493784,0.86110841498083,1.080038616747951,0.1441557589042207,49,741,591,1.3318836805555554,2.12,,,,,0,0,0,6,0.9161364912903673,0.058738425925925916,0.4583333333333333,0.5243055555555556,0.3736979166666667,0.3619791666666667,0.1488715277777778,0.5208333333333334,35.0
31,met_station_core|surface_temp_ir|fc4_flux,3,False,True,False,False,0.544386881806228,0.7302861321234643,0.26624293306505437,1.2790104199428947,1.134066873344413,0.17542373341730402,49,741,591,1.7200000000000002,2.12,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,
33,shielded_thermo_hygro|surface_temp_ir|fc4_flux,3,False,True,False,False,0.5482750701598383,0.7137909114528056,0.30062894142138996,1.1569590738841466,1.128326136900386,0.15635988457906871,49,741,591,1.7200000000000002,2.12,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,
26,met_station_core|radiometer_basic|fc4_flux,3,False,True,False,True,0.5490351820545685,0.7508809593473112,0.2470319118039967,1.3306906940985699,1.1220619982000386,0.23288223856521137,49,741,591,1.6400000000000003,2.0,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,
29,radiometer_basic|shielded_thermo_hygro|fc4_flux,3,False,True,False,True,0.5499953160971118,0.725970229321442,0.28670024008107725,1.116491781205547,1.11095592091501,0.2098065248474655,49,741,591,1.6400000000000003,2.0,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,
14,radiometer_basic|shielded_thermo_hygro|surface_temp_ir,3,False,False,False,True,0.5537184152247695,0.7378368865938656,0.27823888222290405,1.2212481389240342,1.1735348367256675,0.15638270297177553,49,741,591,1.5999999999999999,1.94,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,
28,met_station_core|shielded_thermo_hygro|fc4_flux,3,False,True,False,False,0.5560517125882648,0.7589615589705047,0.2524563736349893,1.3219796601606875,1.1336956186353275,0.23430689670738028,49,741,591,1.6600000000000001,2.02,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,
24,met_station_core|fc4_flux,2,False,True,False,False,0.5585134344162523,0.7610304853153954,0.2555057992139591,1.2886928113139406,1.1333745177005707,0.2427227062987898,49,741,591,1.1400000000000003,1.4,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,
18,met_station_core|radiometer_basic|laser_disdrometer,3,True,False,False,True,0.5679421802989155,0.7850474994157554,0.2431074612302744,1.1857735824828246,1.202971475508049,0.2271206677842463,49,741,591,1.7200000000000002,2.1,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
7,met_station_core|radiometer_basic|shielded_thermo_hygro,3,False,False,False,True,0.568921570375096,0.786689802227376,0.24309499595689618,1.387418876497113,1.1946473797624892,0.22587338913162752,49,741,591,1.54,1.8399999999999999,0.0,0.0,0.0,0.0,0,3,3,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,
